,lang,family,dialects,iso3code,goglottocodettolog,speakers,regions,off_lang,rec_min_lang,url
14,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Cushitic', 'Lowland East', 'Saho–Afar', 'Afar']","['Aussa ', "" Ba'adu "", ' Central Afar ', ' Northern Afar']",aar,afar1241,2.6 million (2019–2020)[1],Horn of Africa, Ethiopia, Djibouti Eritrea,https://en.wikipedia.org/wiki/Afar_language
15,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Cushitic', 'Rift', '?', 'East Rift', 'Asa']",,aas,aasa1238,,Tanzania,,,https://en.wikipedia.org/wiki/Asa_language
16,Par%C3%A1_Ar%C3%A1ra_language,"['Indo-European', 'Albanian', 'Tosk', 'Arvanitika']","['Viotia Arvanitika', 'Attiki Arvanitika', 'Salamina Arvanitika', 'Evia Arvanitika']",aat,arva1236,"50,000 (2007)[3](may be republished older data)","Attica, Boeotia, South Euboea, Saronic Islands; Western Thrace; Peloponnese; some villages in NW of Greece; N of island of Andros; more than 500 villages in total[1]",,,https://en.wikipedia.org/wiki/Arvanitika
17,Par%C3%A1_Ar%C3%A1ra_language,"['Sepik', 'Upper Sepik', 'Abau']",,aau,abau1245,"7,500 (2008 census)[1]",Sandaun Province,,,https://en.wikipedia.org/wiki/Abau_language
18,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', 'Ngero–Vitiaz', 'Southwest New Britain', 'Arawe–Pasismanua', 'West Arawe', 'Solong']",,aaw,solo1258,"(2,200 cited 1981)[1]",West New Britain Province,,,https://en.wikipedia.org/wiki/Solong_language
19,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Timoric', 'West Timor', 'Atoni', 'Amarasi']",,aaz,amar1273,"70,000 (2011)[1]",West Timor,,,https://en.wikipedia.org/wiki/Amarasi_language
20,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Abé']",,aba,abee1242,"300,000 (2017)[1]",Ivory Coast,,,https://en.wikipedia.org/wiki/Ab%C3%A9_language
21,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Bantu', ' (', 'Zone A', ')', 'Basaa', ' (A.40)', 'Rombi–Bankon', 'Bankon']",,abb,bank1256,"12,000 (2001)[1]",Littoral region,,,https://en.wikipedia.org/wiki/Bankon_language
22,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Luzon', 'Sambalic', 'Ambala']",,abc,amba1267,"(1,700 cited 1986)[1]","Zambales, Olongapo, Dinalupihan",,,https://en.wikipedia.org/wiki/Ambala_language
23,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', '?', 'Manide–', 'Alabat', 'Manide']",,abd,cama1250,"3,800 (2010)[1]","Camarines Norte & Quezon, Luzon",,,https://en.wikipedia.org/wiki/Manide_language
24,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'North Bornean', 'Southwest Sabahan', 'Paitanic', 'Abai Sungai']",,abf,abai1240,,Sabah,,,https://en.wikipedia.org/wiki/Sungai_language
25,Par%C3%A1_Ar%C3%A1ra_language,"['Trans–New Guinea', '\n? ', 'Kainantu–Goroka', 'Goroka', 'Kamono–Yagaria', 'Abaga']",,abg,abag1245,600 (2017)[1],Eastern Highlands Province,,,https://en.wikipedia.org/wiki/Abaga_language
26,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Central Asian Arabic']","['Bakhtiari', 'Bukharian', 'Kashkadarian', 'Khorasani']",Either:titleabhtitle – Tajiki Arabictitleauztitle – Uzbeki Arabic,cent2410,"(16,000 cited 1992–2023)[1]",,,,https://en.wikipedia.org/wiki/Tajiki_Arabic
27,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Abidji']","['Enyembe', 'Ogbru']",abi,abid1235,"85,000 (2017)[1]",Lagunes District,,,https://en.wikipedia.org/wiki/Abidji_language
28,Par%C3%A1_Ar%C3%A1ra_language,"['Great Andamanese', '\nSouthern †', 'Bea']",,abj,akab1249,,"Andaman Islands; South Andaman island except northeast coast, and north and east interiors; Rutland island except south coast; small islands southeast of Rutland; Labyrinth Islands.",,,https://en.wikipedia.org/wiki/Aka-Bea_language
29,Par%C3%A1_Ar%C3%A1ra_language,"['Northwest Caucasian', 'Abazgi', 'Abkhaz']","['Abzhywan', 'Bzyp', 'Sadz']",abktitle  Abkhazian,abkh1244title  Abkhaz,"190,000 (2015–2019)[1]",Georgia,Republic of Abkhazia[a],Georgia,https://en.wikipedia.org/wiki/Abkhaz_language
30,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Ekoid', 'Efutop–Ekajuk', 'Abanyom']",,abm,aban1242,"(13,000 cited 1986)[1]",Cross River State,,,https://en.wikipedia.org/wiki/Abanyom_language
31,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Cross River', 'Central Delta', 'Abua–Odual', 'Abua']",,abn,abua1244,"(25,000 cited 1989)[1]",Rivers State,,,https://en.wikipedia.org/wiki/Abua_language
32,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Tivoid', 'North', 'Abon']",,abo,abon1238,"(1,000 cited 1973)[1]",Taraba State,,,https://en.wikipedia.org/wiki/Abon_language
33,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Luzon', 'Sambalic', 'Abellen']",,abp,aben1249,"3,000 (2008)[2]",Tarlac,,,https://en.wikipedia.org/wiki/Abellen_language
34,Par%C3%A1_Ar%C3%A1ra_language,"['Northwest Caucasian', 'Abazgi', 'Abaza']",,abq,abaz1241,"49,800 (2010–2014)[1]",Karachay-Cherkessia, Russia Karachay-Cherkessia,,https://en.wikipedia.org/wiki/Abaza_language
35,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'Central Tano (Akan)', 'Akan', 'Twi', 'Abron']",,abr,abro1238,1.4 million (2013)[1],,Ghana,,https://en.wikipedia.org/wiki/Bono_dialect
36,Par%C3%A1_Ar%C3%A1ra_language,"['Malay Creole', '\nEast Indonesian', 'Ambonese Malay']","['Ambon Malay', 'Dobo Malay', 'Melayu Sini (', 'Dutch Ambonese Malay', ')']",abs,ambo1250,"(250,000 cited 1987)[1]1.4 million L2 speakers",Maluku Islands,,,https://en.wikipedia.org/wiki/Ambonese_Malay
37,Par%C3%A1_Ar%C3%A1ra_language,"['Sepik', 'Middle Sepik', 'Ndu', 'Abelam']",,abt,ambu1247,"33,000 (2004)[1]",Sepik River basin,,,https://en.wikipedia.org/wiki/Abelam_language
38,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'West', 'Abure']",,abu,abur1243,"93,000 (2017)[1]",,,,https://en.wikipedia.org/wiki/Abure_language
39,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Bahrani Arabic']",['Qatifi'],abv,baha1259,"730,000 (2019)[1]",,,,https://en.wikipedia.org/wiki/Bahrani_Arabic
40,Par%C3%A1_Ar%C3%A1ra_language,"['Trans–New Guinea', '?\n', 'Madang', 'Croisilles', 'Omosan', 'Pal']",,abw,pall1244,"1,200 (2000 census)[1]","Madang Province, Papua New Guinea",,,https://en.wikipedia.org/wiki/Pal_language
41,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Sama–Bajaw', 'Abaknon']",,abx,inab1237,"26,000 (2010)[1]","Capul, Northern Samar, Eastern Visayas",,,https://en.wikipedia.org/wiki/Abaknon_language
42,Par%C3%A1_Ar%C3%A1ra_language,"['Trans–New Guinea', 'Yareban', 'Moikodi–Abia', 'Aneme Wake']",,aby,anem1248,(650 cited 1990)[1],Oro Province,,,https://en.wikipedia.org/wiki/Aneme_Wake_language
43,Par%C3%A1_Ar%C3%A1ra_language,"['Trans–New Guinea', '\xa0?\n', 'West Bomberai', '\xa0?', 'Timor–Alor–Pantar', 'Alor–Pantar', 'Alor', 'Abui']",,abz,abui1241,"(16,000? cited 1981)[1]",Alor Island,,,https://en.wikipedia.org/wiki/Abui_language
44,Par%C3%A1_Ar%C3%A1ra_language,"['Arawakan', '\nNorthern', 'Upper Amazon', 'Western Nawiki', 'Piapoko', 'Achagua']",,acatitle  Achagua,acha1250title  Achaguatitlepona1251title  Ponares,250 (2000)[1],,,,https://en.wikipedia.org/wiki/Achawa_language
45,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'Guang', 'North', 'Kyode']",,acd,giky1238,"10,400 (2003)[1]",,,,https://en.wikipedia.org/wiki/Kyode_language
46,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Chamic', 'Acehnese']",,ace,achi1257,2.8 million (2010 census)[1],"Aceh, Sumatra","Indonesia
Aceh (co-official with Indonesian)
",,https://en.wikipedia.org/wiki/Acehnese_language
47,Par%C3%A1_Ar%C3%A1ra_language,"['Antillean Creole French', 'Saint Lucian Creole']",,Either:titleacftitle – Saint Lucian Creole Frenchtitlescftitle – San Miguel Creole French,sain1246,"700,000 (2016)[1]",,,,https://en.wikipedia.org/wiki/Saint_Lucian_Creole
48,Par%C3%A1_Ar%C3%A1ra_language,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Southern Eastern', 'Nilotic', 'Western', 'Luo', 'Southern', 'Luo–Acholi', 'Alur–Acholi', 'Lango–Acholi', 'Acholi']","['Labwor (leb Thur)', 'Nyakwai', 'Dhopaluo (Chope)']",Either:titleachtitle – Acholi/ Acolititlelthtitle – Thur,acol1236,"1.5 million in Uganda (2014 census)[1]  27,000 in South Sudan (2000)[1]",,,,https://en.wikipedia.org/wiki/Acholi_dialect
49,Par%C3%A1_Ar%C3%A1ra_language,"['Great Andamanese', '\nNorthern', 'Cari']",,aci,akac1240,,"Andaman Islands; north coast of North Andaman Island, Landfall Island, other nearby small islands.",,,https://en.wikipedia.org/wiki/Aka-Cari_language
50,Par%C3%A1_Ar%C3%A1ra_language,"['Great Andamanese', '\nNorthern', 'Kora']",,ack,akak1251,,"Andaman Islands; northeast and north central coasts of North Andaman Island, Smith Island",,,https://en.wikipedia.org/wiki/Aka-Kora_language
51,Par%C3%A1_Ar%C3%A1ra_language,"['Great Andamanese', '\nSouthern †', 'Bale']",,acl,akar1243,,"Andaman Islands; Ritchie’s Archipelago, Havelock Island, Neill Island.",,,https://en.wikipedia.org/wiki/Akar-Bale_language
52,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Mesopotamian Arabic']","['Gelet', 'Qeltu']",Either:titleacmtitle – titleGelettitleayptitle – titleQeltu,meso1252titlenort3142,Gelet/South (acm): 17 million (2020)[1]Qeltu/North (ayp): 10 million (2020)[1],"Mesopotamia, Armenian highlands, Cilicia",,,https://en.wikipedia.org/wiki/Mesopotamian_Arabic
53,Par%C3%A1_Ar%C3%A1ra_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo–Burmese', 'Burmish', 'Achang']",,acn,acha1252,"(60,000 cited 1990–2007)[1]",,,,https://en.wikipedia.org/wiki/Achang_language
54,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Kainji', 'Kamuku', 'Eastern Acipa']",,acp,east2403,"(5,000 cited 1993)[1]",Niger State,,,https://en.wikipedia.org/wiki/Eastern_Acipa_language
55,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Southern', 'Yemeni Arabic', 'Taʽizzi-Adeni Arabic']","['Taʽizzi Arabic', 'Adeni Arabic']",acq,taiz1242,12 million (2021)[1],"Taiz, Aden",,,https://en.wikipedia.org/wiki/Ta%CA%BDizzi-Adeni_Arabic
56,Par%C3%A1_Ar%C3%A1ra_language,"['Mayan', '\nQuichean–Mamean', 'Greater Quichean', 'Quichean', 'Quiché–Achi', 'Achi']",,acr,achi1256,"120,000 (2019 census)[1]",Baja Verapaz,, Guatemala,https://en.wikipedia.org/wiki/Achi_language
57,Par%C3%A1_Ar%C3%A1ra_language,"['Macro-Jê', 'Jê', 'Cerrado', 'Akuwẽ (Central Jê)', 'Acroá']",,acs,acro1239,,Bahia,,,https://en.wikipedia.org/wiki/Acro%C3%A1_language
58,Par%C3%A1_Ar%C3%A1ra_language,"['Indo-European', 'Germanic', 'West Germanic', 'North Sea Germanic', 'Low German', 'West Low German', 'Westphalian', '[', 'citation needed', ']', 'Gelders-Overijssels', '[', 'citation needed', ']', 'Achterhooks']",,act,acht1238,"211,000 (2009)[1]",Achterhoek,The Netherlands,,https://en.wikipedia.org/wiki/Achterhooks
59,Par%C3%A1_Ar%C3%A1ra_language,"['Chicham', 'Achuar']",,acu,achu1248,"4,420 in Peru (2012)[1]3,520 in Ecuador (2007)[1]",,,,https://en.wikipedia.org/wiki/Shiwiar_language
60,Par%C3%A1_Ar%C3%A1ra_language,"['Hokan', '\xa0?\n', 'Shasta', '–Palaihnihan\xa0?', 'Palaihnihan', 'Achumawi']",,acv,achu1247,,,,,https://en.wikipedia.org/wiki/Achumawi_language
61,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Hejazi Arabic']",['Rural Hejazi'],acw,hija1235,11 million (2018)[1],Hejaz,,,https://en.wikipedia.org/wiki/Hejazi_Arabic
62,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Omani Arabic']",,acx,oman1239,3.2 million (2020)[1],Hajar mountains and a few coastal towns,,,https://en.wikipedia.org/wiki/Omani_Arabic
63,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Mesopotamian', 'Qeltu', 'Cypriot Arabic']",,acy,cypr1248,"No L1 speakers in the south (2011)[1]9,800 total speakers (2013 UNSD)[2]",Kormakitis and urban areas in the south,, Cyprus,https://en.wikipedia.org/wiki/Cypriot_Arabic
64,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Talodi–Heiban', 'Talodi', 'Tocho languages', 'Acheron']","['Gathuk', 'Gandok', 'Garong']",acz,ache1245,"20,000 (2006)[1]9,800 in home area (2006)[1]",Nuba Hills,,,https://en.wikipedia.org/wiki/Acheron_language
65,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Kwa', 'Ga-Dangme', 'Dangbe']",,ada,adan1247,"1,020,000 (2013)[1]","South-eastern Ghana, east of Accra",Ghana,,https://en.wikipedia.org/wiki/Dangme_language
66,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Timoric', 'Wetar–Galoli', 'Atauran']","['Rasua', 'Raklungu', 'Hresuk', ""Dadu'a""]",Atauran,,"7,900 (2015)[1]","Atauro, Manatuto",,East Timor,https://en.wikipedia.org/wiki/Adabe_language
67,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Grassfields', 'Eastern', 'Nkambe', 'Dzodinka']",,add,dzod1238,"2,600 in Cameroon (2000)[1]1 village across border in Nigeria","Cameroon, Nigeria",,,https://en.wikipedia.org/wiki/Dzodinka_language
68,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Anii–Adere', 'Adele']",,ade,adel1244,"37,000 (2003–2012)[1]",Ghana and Togo,,,https://en.wikipedia.org/wiki/Adele_language
69,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Dhofari Arabic']",,adf,dhof1235,"130,000 (2020)[1]",,,,https://en.wikipedia.org/wiki/Dhofari_Arabic
70,Par%C3%A1_Ar%C3%A1ra_language,"['Pama–Nyungan', 'Arandic', 'Aranda', 'Upper Arrernte', 'Andegerebinha']",,adg,ande1247,,"Australia; Northern Territory, Hay River, Pituri Creek area, east of Alyawarra.",,,https://en.wikipedia.org/wiki/Andegerebinha_dialect
71,Par%C3%A1_Ar%C3%A1ra_language,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Nilotic', 'Western Nilotic', 'Luo', 'Southern Luo', 'Adhola-Alur-Luo', 'Adhola-Luo', 'Adhola']",,adh,adho1243,"480,000 (2014 census)[1]",Tororo District,,,https://en.wikipedia.org/wiki/Adhola_dialect
72,Par%C3%A1_Ar%C3%A1ra_language,,,,,,,,,https://en.wikipedia.org/wiki/Adi_languages
73,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Adjukru']",,adj,adio1239,"160,000 (2021)[1]",,,,https://en.wikipedia.org/wiki/Adjukru_language
74,Par%C3%A1_Ar%C3%A1ra_language,"['Sino-Tibetan', 'Tani', 'Western Tani', 'Subansiri', 'Galo']","['?Karka', '?Gensi', 'Taipodia', 'Zɨrdo', 'Lare', 'Pugo']",adl,galo1242,"29,000 (2011 census)[1]",,,,https://en.wikipedia.org/wiki/Gallong_language
75,Par%C3%A1_Ar%C3%A1ra_language,"['Trans–New Guinea', '\xa0?\n', 'West Bomberai', '\xa0?', 'Timor–Alor–Pantar', 'Alor–Pantar', 'Alor', 'West', 'Straits', 'Adang']",,Variously:titleadntitle – Adangtitlehmutitle – Hamaptitleklztitle – Kabola,adan1252,"12,200 (2013–2014)[1]","Alor Peninsula, Alor Island",,,https://en.wikipedia.org/wiki/Adang_language
76,Par%C3%A1_Ar%C3%A1ra_language,"['Ramu', 'Grass', 'Porapora', 'Adjora']",,ado,abuu1241,"4,200 (2000 census)[1]",East Sepik Province,,,https://en.wikipedia.org/wiki/Adjora_language
77,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Ka-Togo', 'Kposo–Ahlo\xa0?', 'Agotime']",,adq,adan1248,"4,000 (2012)[1]",Sassanou,,,https://en.wikipedia.org/wiki/Agotime_language
78,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Flores–Lembata', 'Lamaholot', 'Adonara']",,adr,adon1237,"98,000 (2008)[1]","Adonara, eastern Solor",,,https://en.wikipedia.org/wiki/Adonara_language
79,Par%C3%A1_Ar%C3%A1ra_language,"['Village sign language', ', West African gestural area']",,ads,adam1238,"40 deaf (2012)[1]Many of the 3,500 hearing villagers (2012) sign to varying degrees","eastern Ghana, Adamorobe village",,,https://en.wikipedia.org/wiki/Adamorobe_Sign_Language
80,Par%C3%A1_Ar%C3%A1ra_language,"['Pama–Nyungan', 'Thura-Yura', 'Yura', 'Adnyamathanha; Kuyani']",,Either:titleadttitle – Adnyamathanhatitlegvytitle – Guyani,adny1235title  Adnyamathanhatitleguya1249title  Guyani,262 (2021 census)[1],South Australia,,,https://en.wikipedia.org/wiki/Adnyamathanha_language
81,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Niger', 'yeai', 'Edoid', 'Northwestern', 'Southern NW', 'Okpamheri']",,opatitle – inclusive codetitleIndividual code:titleadutitle – Aduge village,okpa1238,"92,000 (2021)[1]",,,,https://en.wikipedia.org/wiki/Aduge_language
82,Par%C3%A1_Ar%C3%A1ra_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Tibeto-Kanauri', ' (?)', 'Bodish', 'Tibetic', 'Amdolese']",,adx,amdo1237,2.5 million (2005)[1],"Amdo (include Qinghai, Gansu, Tibet Autonomous Region and Sichuan)",,,https://en.wikipedia.org/wiki/Amdo_Tibetan
83,Par%C3%A1_Ar%C3%A1ra_language,"['Northwest Caucasian', 'Circassian', 'Adyghe']","['Abdzakh', 'Bzhedug', 'Hatuqwai', 'Mamkhegh', 'Natukhaj', 'Shapsug', 'Temirgoy', ' (Standard dialect)', 'Yegeruqwai', 'Hakuchi', 'Zhaney']",ady,adyg1241,"610,000 (2010–2020)[1]",," Russia
 Adygea
"," Jordan Syria Israel
Kfar Kama
Rehaniya
 Autonomous Administration of North and East Syria",https://en.wikipedia.org/wiki/Adyghe_language
84,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', '\xa0?', 'Ngero–Vitiaz', '\xa0?', 'Huon Gulf', 'Markham', 'Upper', 'Adzera']",,Variously:titleadztitle – Adzeratitlezsutitle – Sukurumtitlezsatitle – Sarasira,adze1240title  Adzeratitlesuku1264title  Sukurumtitlesara1323title  Sarasira,"ca. 30,000 (2000 census)[1]","Morobe Province, Papua New Guinea",,,https://en.wikipedia.org/wiki/Adzera_language
85,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi Arabic', 'Tunisian Arabic']",,aeb,tuni1259,12 million (2021)[2],,,As a variety of Maghrebi Arabic on 7 May 1999 (Not ratified due to several Constitutional Matters):[3][4],https://en.wikipedia.org/wiki/Tunisian_Arabic
86,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Saʽīdi Arabic']",,aec,said1239,25 million (2021)[1],Al Minya Governorate and south to Sudan border; Red Sea area; Cairo area[1],,,https://en.wikipedia.org/wiki/Sa%CA%BDidi_Arabic
87,Par%C3%A1_Ar%C3%A1ra_language,['unclassified'],,aed,arge1236,,,,,https://en.wikipedia.org/wiki/Argentine_Sign_Language
88,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'New Caledonian – Loyalties', 'New Caledonian', 'Northern New Caledonian', 'Haeke']",,aek,haek1239,300 (from 2009 census)[1],,,,https://en.wikipedia.org/wiki/Haeke_language
89,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Grassfields', 'Ambele']",,ael,ambe1247,"5,000 (2005)[1]",,,,https://en.wikipedia.org/wiki/Ambele_language
