,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
16,"['Indo-European', 'Albanian', 'Tosk', 'Southern', 'Arvanitika']","['Viotia Arvanitika', 'Attiki Arvanitika', 'Salamina Arvanitika', 'Evia Arvanitika']",aat,arva1236,"50,000 (2007)[3](may be republished older data)","Attica, Boeotia, South Euboea, Saronic Islands; Western Thrace; Peloponnese; some villages in NW of Greece; N of island of Andros; more than 500 villages in total[1]",Data not available,Data not available,https://en.wikipedia.org/wiki/Arvanitika,Arvanitika
17,"['Sepik', 'Upper Sepik', 'Abau']",Data not available,aau,abau1245,"7,500 (2008 census)[1]",Sandaun Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Abau_language,Abau_language
18,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', 'Ngero–Vitiaz', 'Southwest New Britain', 'Arawe–Pasismanua', 'West Arawe', 'Solong']",Data not available,aaw,solo1258,"(2,200 cited 1981)[1]",West New Britain Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Solong_language,Solong_language
19,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Timoric', 'West Timor', 'Atoni', 'Amarasi']",Data not available,aaz,amar1273,"70,000 (2011)[1]",West Timor,Data not available,Data not available,https://en.wikipedia.org/wiki/Amarasi_language,Amarasi_language
20,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Abé']",Data not available,aba,abee1242,"300,000 (2017)[1]",Ivory Coast,Data not available,Data not available,https://en.wikipedia.org/wiki/Ab%C3%A9_language,Ab%C3%A9_language
21,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Bantu', ' (', 'Zone A', ')', 'Basaa', ' (A.40)', 'Rombi–Bankon', 'Bankon']",Data not available,abb,bank1256,"12,000 (2001)[1]",Littoral region,Data not available,Data not available,https://en.wikipedia.org/wiki/Bankon_language,Bankon_language
22,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Luzon', 'Sambalic', 'Ambala']",Data not available,abc,amba1267,"(1,700 cited 1986)[1]","Zambales, Olongapo, Dinalupihan",Data not available,Data not available,https://en.wikipedia.org/wiki/Ambala_language,Ambala_language
23,"['Austronesian', 'Malayo-Polynesian', 'Philippine', '?', 'Manide–', 'Alabat', 'Manide']",Data not available,abd,cama1250,"3,800 (2010)[1]","Camarines Norte & Quezon, Luzon",Data not available,Data not available,https://en.wikipedia.org/wiki/Manide_language,Manide_language
24,"['Austronesian', 'Malayo-Polynesian', 'North Bornean', 'Southwest Sabahan', 'Paitanic', 'Abai Sungai']",Data not available,abf,abai1240,Data not available,Sabah,Data not available,Data not available,https://en.wikipedia.org/wiki/Sungai_language,Sungai_language
25,"['Trans–New Guinea', '\n? ', 'Kainantu–Goroka', 'Goroka', 'Kamono–Yagaria', 'Abaga']",Data not available,abg,abag1245,600 (2017)[1],Eastern Highlands Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Abaga_language,Abaga_language
26,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Central Asian Arabic']","['Bakhtiari', 'Bukharian', 'Kashkadarian', 'Khorasani']",Either:titleabhtitle – Tajiki Arabictitleauztitle – Uzbeki Arabic,cent2410,"(16,000 cited 1992–2023)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tajiki_Arabic,Tajiki_Arabic
27,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Abidji']","['Enyembe', 'Ogbru']",abi,abid1235,"85,000 (2017)[1]",Lagunes District,Data not available,Data not available,https://en.wikipedia.org/wiki/Abidji_language,Abidji_language
28,"['Great Andamanese', '\nSouthern †', 'Bea']",Data not available,abj,akab1249,Data not available,"Andaman Islands; South Andaman island except northeast coast, and north and east interiors; Rutland island except south coast; small islands southeast of Rutland; Labyrinth Islands.",Data not available,Data not available,https://en.wikipedia.org/wiki/Aka-Bea_language,Aka-Bea_language
29,"['Northwest Caucasian', 'Abazgi', 'Abkhaz']","['Abzhywan', 'Bzyp', 'Sadz']",abktitle  Abkhazian,abkh1244title  Abkhaz,"190,000 (2015–2019)[1]",Georgia,Republic of Abkhazia[a],Georgia,https://en.wikipedia.org/wiki/Abkhaz_language,Abkhaz_language
30,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Ekoid', 'Efutop–Ekajuk', 'Abanyom']",Data not available,abm,aban1242,"(13,000 cited 1986)[1]",Cross River State,Data not available,Data not available,https://en.wikipedia.org/wiki/Abanyom_language,Abanyom_language
31,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Cross River', 'Central Delta', 'Abua–Odual', 'Abua']",Data not available,abn,abua1244,"(25,000 cited 1989)[1]",Rivers State,Data not available,Data not available,https://en.wikipedia.org/wiki/Abua_language,Abua_language
32,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Tivoid', 'North', 'Abon']",Data not available,abo,abon1238,"(1,000 cited 1973)[1]",Taraba State,Data not available,Data not available,https://en.wikipedia.org/wiki/Abon_language,Abon_language
33,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Luzon', 'Sambalic', 'Abellen']",Data not available,abp,aben1249,"3,000 (2008)[2]",Tarlac,Data not available,Data not available,https://en.wikipedia.org/wiki/Abellen_language,Abellen_language
34,"['Northwest Caucasian', 'Abazgi', 'Abaza']",Data not available,abq,abaz1241,"49,800 (2010–2014)[1]",Karachay-Cherkessia, Russia Karachay-Cherkessia,Data not available,https://en.wikipedia.org/wiki/Abaza_language,Abaza_language
35,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'Central Tano (Akan)', 'Akan', 'Twi', 'Abron']",Data not available,abr,abro1238,1.4 million (2013)[1],Data not available,Ghana,Data not available,https://en.wikipedia.org/wiki/Bono_dialect,Bono_dialect
36,"['Malay Creole', '\nEast Indonesian', 'Ambonese Malay']","['Ambon Malay', 'Dobo Malay', 'Melayu Sini (', 'Dutch Ambonese Malay', ')']",abs,ambo1250,"(250,000 cited 1987)[1]1.4 million L2 speakers",Maluku Islands,Data not available,Data not available,https://en.wikipedia.org/wiki/Ambonese_Malay,Ambonese_Malay
37,"['Sepik', 'Middle Sepik', 'Ndu', 'Abelam']",Data not available,abt,ambu1247,"33,000 (2004)[1]",Sepik River basin,Data not available,Data not available,https://en.wikipedia.org/wiki/Abelam_language,Abelam_language
38,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'West', 'Abure']",Data not available,abu,abur1243,"93,000 (2017)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Abure_language,Abure_language
39,"['Afro-Asiatic', 'Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Bahrani Arabic']",['Qatifi'],abv,baha1259,"730,000 (2019)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bahrani_Arabic,Bahrani_Arabic
40,"['Trans–New Guinea', '?\n', 'Madang', 'Croisilles', 'Omosan', 'Pal']",Data not available,abw,pall1244,"1,200 (2000 census)[1]","Madang Province, Papua New Guinea",Data not available,Data not available,https://en.wikipedia.org/wiki/Pal_language,Pal_language
41,"['Austronesian', 'Malayo-Polynesian', 'Sama–Bajaw', 'Abaknon']",Data not available,abx,inab1237,"26,000 (2010)[1]","Capul, Northern Samar, Eastern Visayas",Data not available,Data not available,https://en.wikipedia.org/wiki/Abaknon_language,Abaknon_language
42,"['Trans–New Guinea', 'Yareban', 'Moikodi–Abia', 'Aneme Wake']",Data not available,aby,anem1248,(650 cited 1990)[1],Oro Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Aneme_Wake_language,Aneme_Wake_language
43,"['Trans–New Guinea', '\xa0?\n', 'West Bomberai', '\xa0?', 'Timor–Alor–Pantar', 'Alor–Pantar', 'Alor', 'Abui']",Data not available,abz,abui1241,"(16,000? cited 1981)[1]",Alor Island,Data not available,Data not available,https://en.wikipedia.org/wiki/Abui_language,Abui_language
44,"['Arawakan', '\nNorthern', 'Upper Amazon', 'Western Nawiki', 'Piapoko', 'Achagua']",Data not available,acatitle  Achagua,acha1250title  Achaguatitlepona1251title  Ponares,250 (2000)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Achawa_language,Achawa_language
45,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'Guang', 'North', 'Kyode']",Data not available,acd,giky1238,"10,400 (2003)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Kyode_language,Kyode_language
46,"['Austronesian', 'Malayo-Polynesian', 'Chamic', 'Acehnese']",Data not available,ace,achi1257,2.8 million (2010 census)[1],"Aceh, Sumatra","Indonesia
Aceh (co-official with Indonesian)
",Data not available,https://en.wikipedia.org/wiki/Acehnese_language,Acehnese_language
47,"['Antillean Creole French', 'Saint Lucian Creole']",Data not available,Either:titleacftitle – Saint Lucian Creole Frenchtitlescftitle – San Miguel Creole French,sain1246,"700,000 (2016)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Saint_Lucian_Creole,Saint_Lucian_Creole
48,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Southern Eastern', 'Nilotic', 'Western', 'Luo', 'Southern', 'Luo–Acholi', 'Alur–Acholi', 'Lango–Acholi', 'Acholi']","['Labwor (leb Thur)', 'Nyakwai', 'Dhopaluo (Chope)']",Either:titleachtitle – Acholi/ Acolititlelthtitle – Thur,acol1236,"1.5 million in Uganda (2014 census)[1]  27,000 in South Sudan (2000)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Acholi_dialect,Acholi_dialect
49,"['Great Andamanese', '\nNorthern', 'Cari']",Data not available,aci,akac1240,Data not available,"Andaman Islands; north coast of North Andaman Island, Landfall Island, other nearby small islands.",Data not available,Data not available,https://en.wikipedia.org/wiki/Aka-Cari_language,Aka-Cari_language
50,"['Great Andamanese', '\nNorthern', 'Kora']",Data not available,ack,akak1251,Data not available,"Andaman Islands; northeast and north central coasts of North Andaman Island, Smith Island",Data not available,Data not available,https://en.wikipedia.org/wiki/Aka-Kora_language,Aka-Kora_language
51,"['Great Andamanese', '\nSouthern †', 'Bale']",Data not available,acl,akar1243,Data not available,"Andaman Islands; Ritchie’s Archipelago, Havelock Island, Neill Island.",Data not available,Data not available,https://en.wikipedia.org/wiki/Akar-Bale_language,Akar-Bale_language
52,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Mesopotamian Arabic']","['Gelet', 'Qeltu']",Either:titleacmtitle – titleGelettitleayptitle – titleQeltu,meso1252titlenort3142,Gelet/South (acm): 17 million (2020)[1]Qeltu/North (ayp): 10 million (2020)[1],"Mesopotamia, Cilicia",Data not available,Data not available,https://en.wikipedia.org/wiki/Mesopotamian_Arabic,Mesopotamian_Arabic
53,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo–Burmese', 'Burmish', 'Achang']",Data not available,acn,acha1252,"(60,000 cited 1990–2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Achang_language,Achang_language
54,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Kainji', 'Kamuku', 'Eastern Acipa']",Data not available,acp,east2403,"(5,000 cited 1993)[1]",Niger State,Data not available,Data not available,https://en.wikipedia.org/wiki/Eastern_Acipa_language,Eastern_Acipa_language
55,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Southern', 'Yemeni Arabic', 'Taʽizzi-Adeni Arabic']","['Taʽizzi Arabic', 'Adeni Arabic']",acq,taiz1242,12 million (2021)[1],"Taiz, Aden",Data not available,Data not available,https://en.wikipedia.org/wiki/Ta%CA%BDizzi-Adeni_Arabic,Ta%CA%BDizzi-Adeni_Arabic
56,"['Mayan', '\nQuichean–Mamean', 'Greater Quichean', 'Quichean', 'Quiché–Achi', 'Achi']",Data not available,acr,achi1256,"120,000 (2019 census)[1]",Baja Verapaz,Data not available, Guatemala,https://en.wikipedia.org/wiki/Achi_language,Achi_language
57,"['Macro-Jê', 'Jê', 'Cerrado', 'Akuwẽ (Central Jê)', 'Acroá']",Data not available,acs,acro1239,Data not available,Bahia,Data not available,Data not available,https://en.wikipedia.org/wiki/Acro%C3%A1_language,Acro%C3%A1_language
58,"['Indo-European', 'Germanic', 'West Germanic', 'North Sea Germanic', 'Low German', 'West Low German', 'Westphalian', '[', 'citation needed', ']', 'Gelders-Overijssels', '[', 'citation needed', ']', 'Achterhooks']",Data not available,act,acht1238,"211,000 (2009)[1]",Achterhoek,The Netherlands,Data not available,https://en.wikipedia.org/wiki/Achterhooks,Achterhooks
59,"['Chicham', 'Achuar']",Data not available,acu,achu1248,"4,420 in Peru (2012)[1]3,520 in Ecuador (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Shiwiar_language,Shiwiar_language
60,"['Hokan', '\xa0?\n', 'Shasta', '–Palaihnihan\xa0?', 'Palaihnihan', 'Achumawi']",Data not available,acv,achu1247,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Achumawi_language,Achumawi_language
61,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Hejazi Arabic']",['Rural Hejazi'],acw,hija1235,11 million (2018)[1],Hejaz,Data not available,Data not available,https://en.wikipedia.org/wiki/Hejazi_Arabic,Hejazi_Arabic
62,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Omani Arabic']",Data not available,acx,oman1239,3.2 million (2020)[1],Hajar mountains and a few coastal towns,Data not available,Data not available,https://en.wikipedia.org/wiki/Omani_Arabic,Omani_Arabic
63,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Mesopotamian', 'Qeltu', 'Cypriot Arabic']",Data not available,acy,cypr1248,"No L1 speakers in the south (2011)[1]9,800 total speakers (2013 UNSD)[2]",Kormakitis and urban areas in the south,Data not available, Cyprus,https://en.wikipedia.org/wiki/Cypriot_Arabic,Cypriot_Arabic
64,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Talodi–Heiban', 'Talodi', 'Tocho languages', 'Acheron']","['Gathuk', 'Gandok', 'Garong']",acz,ache1245,"20,000 (2006)[1]9,800 in home area (2006)[1]",Nuba Hills,Data not available,Data not available,https://en.wikipedia.org/wiki/Acheron_language,Acheron_language
65,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Kwa', 'Ga-Dangme', 'Dangbe']",Data not available,ada,adan1247,"1,020,000 (2013)[1]","South-eastern Ghana, east of Accra",Ghana,Data not available,https://en.wikipedia.org/wiki/Dangme_language,Dangme_language
66,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Timoric', 'Wetar–Galoli', 'Atauran']","['Rasua', 'Raklungu', 'Hresuk', ""Dadu'a""]",Atauran,Data not available,"7,900 (2015)[1]","Atauro, Manatuto",Data not available,East Timor,https://en.wikipedia.org/wiki/Adabe_language,Adabe_language
67,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Grassfields', 'Eastern', 'Nkambe', 'Dzodinka']",Data not available,add,dzod1238,"2,600 in Cameroon (2000)[1]1 village across border in Nigeria","Cameroon, Nigeria",Data not available,Data not available,https://en.wikipedia.org/wiki/Dzodinka_language,Dzodinka_language
68,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Anii–Adere', 'Adele']",Data not available,ade,adel1244,"37,000 (2003–2012)[1]",Ghana and Togo,Data not available,Data not available,https://en.wikipedia.org/wiki/Adele_language,Adele_language
69,"['Afro-Asiatic', 'Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Dhofari Arabic']",Data not available,adf,dhof1235,"130,000 (2020)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Dhofari_Arabic,Dhofari_Arabic
70,"['Pama–Nyungan', 'Arandic', 'Aranda', 'Upper Arrernte', 'Andegerebinha']",Data not available,adg,ande1247,Data not available,"Australia; Northern Territory, Hay River, Pituri Creek area, east of Alyawarra.",Data not available,Data not available,https://en.wikipedia.org/wiki/Andegerebinha_dialect,Andegerebinha_dialect
71,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', '?', 'Kir–Abbaian', '?', 'Nilotic', 'Western Nilotic', 'Luo', 'Southern', 'Adhola–', 'Alur', '–', 'Luo', 'Adhola–', 'Luo', 'Adhola']",Data not available,adh,adho1243,"480,000 (2014 census)[1]",Tororo District,Data not available,Data not available,https://en.wikipedia.org/wiki/Adhola_dialect,Adhola_dialect
72,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Adi_languages,Adi_languages
73,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Adjukru']",Data not available,adj,adio1239,"160,000 (2021)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Adjukru_language,Adjukru_language
74,"['Sino-Tibetan', 'Tani', 'Western Tani', 'Subansiri', 'Galo']","['?Karka', '?Gensi', 'Taipodia', 'Zɨrdo', 'Lare', 'Pugo']",adl,galo1242,"29,000 (2011 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Gallong_language,Gallong_language
75,"['Trans–New Guinea', '\xa0?\n', 'West Bomberai', '\xa0?', 'Timor–Alor–Pantar', 'Alor–Pantar', 'Alor', 'West', 'Straits', 'Adang']",Data not available,Variously:titleadntitle – Adangtitlehmutitle – Hamaptitleklztitle – Kabola,adan1252,"12,200 (2013–2014)[1]","Alor Peninsula, Alor Island",Data not available,Data not available,https://en.wikipedia.org/wiki/Adang_language,Adang_language
76,"['Ramu', 'Grass', 'Porapora', 'Adjora']",Data not available,ado,abuu1241,"4,200 (2000 census)[1]",East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Adjora_language,Adjora_language
77,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Ka-Togo', 'Kposo–Ahlo\xa0?', 'Agotime']",Data not available,adq,adan1248,"4,000 (2012)[1]",Sassanou,Data not available,Data not available,https://en.wikipedia.org/wiki/Agotime_language,Agotime_language
78,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Flores–Lembata', 'Lamaholot', 'Adonara']",Data not available,adr,adon1237,"98,000 (2008)[1]","Adonara, eastern Solor",Data not available,Data not available,https://en.wikipedia.org/wiki/Adonara_language,Adonara_language
79,"['Village sign language', ', West African gestural area']",Data not available,ads,adam1238,"40 deaf (2012)[1]Many of the 3,500 hearing villagers (2012) sign to varying degrees","eastern Ghana, Adamorobe village",Data not available,Data not available,https://en.wikipedia.org/wiki/Adamorobe_Sign_Language,Adamorobe_Sign_Language
80,"['Pama–Nyungan', 'Thura-Yura', 'Yura', 'Adnyamathanha; Kuyani']",Data not available,Either:titleadttitle – Adnyamathanhatitlegvytitle – Guyani,adny1235title  Adnyamathanhatitleguya1249title  Guyani,262 (2021 census)[1],South Australia,Data not available,Data not available,https://en.wikipedia.org/wiki/Adnyamathanha_language,Adnyamathanha_language
81,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Niger', 'yeai', 'Edoid', 'Northwestern', 'Southern NW', 'Okpamheri']",Data not available,opatitle – inclusive codetitleIndividual code:titleadutitle – Aduge village,okpa1238,"92,000 (2021)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Aduge_language,Aduge_language
82,"['Sino-Tibetan', 'Tibeto-Burman', 'Tibeto-Kanauri', ' (?)', 'Bodish', 'Tibetic', 'Amdolese']",Data not available,adx,amdo1237,2.5 million (2005)[1],"Amdo (include Qinghai, Gansu, Tibet Autonomous Region and Sichuan)",Data not available,Data not available,https://en.wikipedia.org/wiki/Amdo_Tibetan,Amdo_Tibetan
83,"['Northwest Caucasian', 'Circassian', 'Adyghe']","['Abdzakh', 'Bzhedug', 'Hatuqwai', 'Mamkhegh', 'Natukhaj', 'Shapsug', 'Temirgoy', ' (Standard dialect)', 'Yegeruqwai', 'Hakuchi', 'Zhaney']",ady,adyg1241,"610,000 (2010–2020)[1]",Data not available," Russia
 Adygea
"," Jordan Syria Israel
Kfar Kama
Rehaniya
 Autonomous Administration of North and East Syria",https://en.wikipedia.org/wiki/Adyghe_language,Adyghe_language
84,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', '\xa0?', 'Ngero–Vitiaz', '\xa0?', 'Huon Gulf', 'Markham', 'Upper', 'Adzera']",Data not available,Variously:titleadztitle – Adzeratitlezsutitle – Sukurumtitlezsatitle – Sarasira,adze1240title  Adzeratitlesuku1264title  Sukurumtitlesara1323title  Sarasira,"ca. 30,000 (2000 census)[1]","Morobe Province, Papua New Guinea",Data not available,Data not available,https://en.wikipedia.org/wiki/Adzera_language,Adzera_language
85,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi', 'Tunisian Arabic']",Data not available,aeb,tuni1259,12 million (2021)[2],Data not available,Data not available,As a variety of Maghrebi Arabic on 7 May 1999 (Not ratified due to several Constitutional Matters):[3][4],https://en.wikipedia.org/wiki/Tunisian_Arabic,Tunisian_Arabic
86,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Saʽīdi Arabic']",Data not available,aec,said1239,25 million (2021)[1],Al Minya Governorate and south to Sudan border; Red Sea area; Cairo area[1],Data not available,Data not available,https://en.wikipedia.org/wiki/Sa%CA%BDidi_Arabic,Sa%CA%BDidi_Arabic
87,['unclassified'],Data not available,aed,arge1236,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Argentine_Sign_Language,Argentine_Sign_Language
88,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'New Caledonian – Loyalties', 'New Caledonian', 'Northern New Caledonian', 'Haeke']",Data not available,aek,haek1239,300 (from 2009 census)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Haeke_language,Haeke_language
89,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Grassfields', 'Ambele']",Data not available,ael,ambe1247,"5,000 (2005)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Ambele_language,Ambele_language
90,"['Austroasiatic', 'Vietic', 'Chut', '\xa0?', 'Arem']",Data not available,aem,arem1240,20 (2015)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Arem_language,Arem_language
