,lang,family,dialects,iso6393,glottocode,speakers,regions,off_lang,rec_min_lang,Wikipedia_Url
41,Abaknon,"['Austronesian', 'Malayo-Polynesian', 'Sama–Bajaw', 'Abaknon']",Data not available,abx,inab1237,"26,000 (2010)[1]","Capul, Northern Samar, Eastern Visayas",Data not available,Data not available,https://en.wikipedia.org/wiki/Abaknon_language
42,Aneme Wake,"['Trans–New Guinea', 'Yareban', 'Moikodi–Abia', 'Aneme Wake']",Data not available,aby,anem1248,(650 cited 1990)[1],Oro Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Aneme_Wake_language
43,Abui,"['Trans–New Guinea', '\xa0?\n', 'West Bomberai', '\xa0?', 'Timor–Alor–Pantar', 'Alor–Pantar', 'Alor', 'Abui']",Data not available,abz,abui1241,"(16,000? cited 1981)[1]",Alor Island,Data not available,Data not available,https://en.wikipedia.org/wiki/Abui_language
44,Achagua,"['Arawakan', '\nNorthern', 'Upper Amazon', 'Western Nawiki', 'Piapoko', 'Achagua']",Data not available,acatitle  Achagua,acha1250title  Achaguatitlepona1251title  Ponares,250 (2000)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Achawa_language
45,Kyode,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'Guang', 'North', 'Kyode']",Data not available,acd,giky1238,"10,400 (2003)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Kyode_language
46,Acehnese,"['Austronesian', 'Malayo-Polynesian', 'Chamic', 'Acehnese']",Data not available,ace,achi1257,2.8 million (2010 census)[1],"Aceh, Sumatra","Indonesia
Aceh (co-official with Indonesian)
",Data not available,https://en.wikipedia.org/wiki/Acehnese_language
47,Saint Lucian Creole,"['Antillean Creole French', 'Saint Lucian Creole']",Data not available,Either:titleacftitle – Saint Lucian Creole Frenchtitlescftitle – San Miguel Creole French,sain1246,"700,000 (2016)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Saint_Lucian_Creole
48,Acholi,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Southern Eastern', 'Nilotic', 'Western', 'Luo', 'Southern', 'Luo–Acholi', 'Alur–Acholi', 'Lango–Acholi', 'Acholi']","['Labwor (leb Thur)', 'Nyakwai', 'Dhopaluo (Chope)']",Either:titleachtitle – Acholi/ Acolititlelthtitle – Thur,acol1236,"1.5 million in Uganda (2014 census)[1]  27,000 in South Sudan (2000)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Acholi_dialect
49,Cari,"['Great Andamanese', '\nNorthern', 'Cari']",Data not available,aci,akac1240,Data not available,"Andaman Islands; north coast of North Andaman Island, Landfall Island, other nearby small islands.",Data not available,Data not available,https://en.wikipedia.org/wiki/Aka-Cari_language
50,Kora,"['Great Andamanese', '\nNorthern', 'Kora']",Data not available,ack,akak1251,Data not available,"Andaman Islands; northeast and north central coasts of North Andaman Island, Smith Island",Data not available,Data not available,https://en.wikipedia.org/wiki/Aka-Kora_language
51,Bale,"['Great Andamanese', '\nSouthern †', 'Bale']",Data not available,acl,akar1243,Data not available,"Andaman Islands; Ritchie’s Archipelago, Havelock Island, Neill Island.",Data not available,Data not available,https://en.wikipedia.org/wiki/Akar-Bale_language
52,Mesopotamian Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Mesopotamian Arabic']","['Gelet', 'Qeltu']",Either:titleacmtitle – titleGelettitleayptitle – titleQeltu,meso1252titlenort3142,Gelet/South (acm): 17 million (2020)[1]Qeltu/North (ayp): 10 million (2020)[1],"Mesopotamia, Cilicia",Data not available,Data not available,https://en.wikipedia.org/wiki/Mesopotamian_Arabic
53,Achang,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo–Burmese', 'Burmish', 'Achang']",Data not available,acn,acha1252,"(60,000 cited 1990–2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Achang_language
54,Eastern Acipa,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Kainji', 'Kamuku', 'Eastern Acipa']",Data not available,acp,east2403,"(5,000 cited 1993)[1]",Niger State,Data not available,Data not available,https://en.wikipedia.org/wiki/Eastern_Acipa_language
55,Taʽizzi-Adeni Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Southern', 'Yemeni Arabic', 'Taʽizzi-Adeni Arabic']","['Taʽizzi Arabic', 'Adeni Arabic']",acq,taiz1242,12 million (2021)[1],"Taiz, Aden",Data not available,Data not available,https://en.wikipedia.org/wiki/Ta%CA%BDizzi-Adeni_Arabic
56,Achi,"['Mayan', '\nQuichean–Mamean', 'Greater Quichean', 'Quichean', 'Quiché–Achi', 'Achi']",Data not available,acr,achi1256,"120,000 (2019 census)[1]",Baja Verapaz,Data not available, Guatemala,https://en.wikipedia.org/wiki/Achi_language
57,Acroá,"['Macro-Jê', 'Jê', 'Cerrado', 'Akuwẽ (Central Jê)', 'Acroá']",Data not available,acs,acro1239,Data not available,Bahia,Data not available,Data not available,https://en.wikipedia.org/wiki/Acro%C3%A1_language
58,Achterhooks,"['Indo-European', 'Germanic', 'West Germanic', 'North Sea Germanic', 'Low German', 'West Low German', 'Westphalian', '[', 'citation needed', ']', 'Gelders-Overijssels', '[', 'citation needed', ']', 'Achterhooks']",Data not available,act,acht1238,"211,000 (2009)[1]",Achterhoek,The Netherlands,Data not available,https://en.wikipedia.org/wiki/Achterhooks
59,Achuar,"['Chicham', 'Achuar']",Data not available,acu,achu1248,"4,420 in Peru (2012)[1]3,520 in Ecuador (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Shiwiar_language
60,Achumawi,"['Hokan', '\xa0?\n', 'Shasta', '–Palaihnihan\xa0?', 'Palaihnihan', 'Achumawi']",Data not available,acv,achu1247,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Achumawi_language
61,Hejazi Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Hejazi Arabic']",['Rural Hejazi'],acw,hija1235,11 million (2018)[1],Hejaz,Data not available,Data not available,https://en.wikipedia.org/wiki/Hejazi_Arabic
62,Omani Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Omani Arabic']",Data not available,acx,oman1239,3.2 million (2020)[1],Hajar mountains and a few coastal towns,Data not available,Data not available,https://en.wikipedia.org/wiki/Omani_Arabic
63,Cypriot Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Mesopotamian', 'Qeltu', 'Cypriot Arabic']",Data not available,acy,cypr1248,"No L1 speakers in the south (2011)[1]9,800 total speakers (2013 UNSD)[2]",Kormakitis and urban areas in the south,Data not available, Cyprus,https://en.wikipedia.org/wiki/Cypriot_Arabic
64,Acheron,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Talodi–Heiban', 'Talodi', 'Tocho languages', 'Acheron']","['Gathuk', 'Gandok', 'Garong']",acz,ache1245,"20,000 (2006)[1]9,800 in home area (2006)[1]",Nuba Hills,Data not available,Data not available,https://en.wikipedia.org/wiki/Acheron_language
65,Dangbe,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Kwa', 'Ga-Dangme', 'Dangbe']",Data not available,ada,adan1247,"1,020,000 (2013)[1]","South-eastern Ghana, east of Accra",Ghana,Data not available,https://en.wikipedia.org/wiki/Dangme_language
66,Atauran,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Timoric', 'Wetar–Galoli', 'Atauran']","['Rasua', 'Raklungu', 'Hresuk', ""Dadu'a""]",Atauran,Data not available,"7,900 (2015)[1]","Atauro, Manatuto",Data not available,East Timor,https://en.wikipedia.org/wiki/Adabe_language
67,Dzodinka,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Grassfields', 'Eastern', 'Nkambe', 'Dzodinka']",Data not available,add,dzod1238,"2,600 in Cameroon (2000)[1]1 village across border in Nigeria","Cameroon, Nigeria",Data not available,Data not available,https://en.wikipedia.org/wiki/Dzodinka_language
68,Adele,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Anii–Adere', 'Adele']",Data not available,ade,adel1244,"37,000 (2003–2012)[1]",Ghana and Togo,Data not available,Data not available,https://en.wikipedia.org/wiki/Adele_language
69,Dhofari Arabic,"['Afro-Asiatic', 'Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Dhofari Arabic']",Data not available,adf,dhof1235,"130,000 (2020)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Dhofari_Arabic
70,Andegerebinha,"['Pama–Nyungan', 'Arandic', 'Aranda', 'Upper Arrernte', 'Andegerebinha']",Data not available,adg,ande1247,Data not available,"Australia; Northern Territory, Hay River, Pituri Creek area, east of Alyawarra.",Data not available,Data not available,https://en.wikipedia.org/wiki/Andegerebinha_dialect
71,Adhola,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', '?', 'Kir–Abbaian', '?', 'Nilotic', 'Western Nilotic', 'Luo', 'Southern', 'Adhola–', 'Alur', '–', 'Luo', 'Adhola–', 'Luo', 'Adhola']",Data not available,adh,adho1243,"480,000 (2014 census)[1]",Tororo District,Data not available,Data not available,https://en.wikipedia.org/wiki/Adhola_dialect
72,Adhola,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Adi_languages
73,Adjukru,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Adjukru']",Data not available,adj,adio1239,"160,000 (2021)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Adjukru_language
74,Galo,"['Sino-Tibetan', 'Tani', 'Western Tani', 'Subansiri', 'Galo']","['?Karka', '?Gensi', 'Taipodia', 'Zɨrdo', 'Lare', 'Pugo']",adl,galo1242,"29,000 (2011 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Gallong_language
75,Adang,"['Trans–New Guinea', '\xa0?\n', 'West Bomberai', '\xa0?', 'Timor–Alor–Pantar', 'Alor–Pantar', 'Alor', 'West', 'Straits', 'Adang']",Data not available,Variously:titleadntitle – Adangtitlehmutitle – Hamaptitleklztitle – Kabola,adan1252,"12,200 (2013–2014)[1]","Alor Peninsula, Alor Island",Data not available,Data not available,https://en.wikipedia.org/wiki/Adang_language
76,Adjora,"['Ramu', 'Grass', 'Porapora', 'Adjora']",Data not available,ado,abuu1241,"4,200 (2000 census)[1]",East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Adjora_language
77,Agotime,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Ka-Togo', 'Kposo–Ahlo\xa0?', 'Agotime']",Data not available,adq,adan1248,"4,000 (2012)[1]",Sassanou,Data not available,Data not available,https://en.wikipedia.org/wiki/Agotime_language
78,Adonara,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Flores–Lembata', 'Lamaholot', 'Adonara']",Data not available,adr,adon1237,"98,000 (2008)[1]","Adonara, eastern Solor",Data not available,Data not available,https://en.wikipedia.org/wiki/Adonara_language
79,Adamorobe Sign Language,"['Village sign language', ', West African gestural area']",Data not available,ads,adam1238,"40 deaf (2012)[1]Many of the 3,500 hearing villagers (2012) sign to varying degrees","eastern Ghana, Adamorobe village",Data not available,Data not available,https://en.wikipedia.org/wiki/Adamorobe_Sign_Language
80,Adnyamathanha; Kuyani,"['Pama–Nyungan', 'Thura-Yura', 'Yura', 'Adnyamathanha; Kuyani']",Data not available,Either:titleadttitle – Adnyamathanhatitlegvytitle – Guyani,adny1235title  Adnyamathanhatitleguya1249title  Guyani,262 (2021 census)[1],South Australia,Data not available,Data not available,https://en.wikipedia.org/wiki/Adnyamathanha_language
81,Okpamheri,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Niger', 'yeai', 'Edoid', 'Northwestern', 'Southern NW', 'Okpamheri']",Data not available,opatitle – inclusive codetitleIndividual code:titleadutitle – Aduge village,okpa1238,"92,000 (2021)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Aduge_language
82,Amdolese,"['Sino-Tibetan', 'Tibeto-Burman', 'Tibeto-Kanauri', ' (?)', 'Bodish', 'Tibetic', 'Amdolese']",Data not available,adx,amdo1237,2.5 million (2005)[1],"Amdo (include Qinghai, Gansu, Tibet Autonomous Region and Sichuan)",Data not available,Data not available,https://en.wikipedia.org/wiki/Amdo_Tibetan
83,Adyghe,"['Northwest Caucasian', 'Circassian', 'Adyghe']","['Abdzakh', 'Bzhedug', 'Hatuqwai', 'Mamkhegh', 'Natukhaj', 'Shapsug', 'Temirgoy', ' (Standard dialect)', 'Yegeruqwai', 'Hakuchi', 'Zhaney']",ady,adyg1241,"610,000 (2010–2020)[1]",Data not available," Russia
 Adygea
"," Jordan Syria Israel
Kfar Kama
Rehaniya
 Autonomous Administration of North and East Syria",https://en.wikipedia.org/wiki/Adyghe_language
84,Adzera,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', '\xa0?', 'Ngero–Vitiaz', '\xa0?', 'Huon Gulf', 'Markham', 'Upper', 'Adzera']",Data not available,Variously:titleadztitle – Adzeratitlezsutitle – Sukurumtitlezsatitle – Sarasira,adze1240title  Adzeratitlesuku1264title  Sukurumtitlesara1323title  Sarasira,"ca. 30,000 (2000 census)[1]","Morobe Province, Papua New Guinea",Data not available,Data not available,https://en.wikipedia.org/wiki/Adzera_language
85,Tunisian Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi', 'Tunisian Arabic']",Data not available,aeb,tuni1259,12 million (2021)[2],Data not available,Data not available,As a variety of Maghrebi Arabic on 7 May 1999 (Not ratified due to several Constitutional Matters):[3][4],https://en.wikipedia.org/wiki/Tunisian_Arabic
86,Saʽīdi Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Saʽīdi Arabic']",Data not available,aec,said1239,25 million (2021)[1],Al Minya Governorate and south to Sudan border; Red Sea area; Cairo area[1],Data not available,Data not available,https://en.wikipedia.org/wiki/Sa%CA%BDidi_Arabic
87,Argentine Sign Language,['unclassified'],Data not available,aed,arge1236,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Argentine_Sign_Language
88,Haeke,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'New Caledonian – Loyalties', 'New Caledonian', 'Northern New Caledonian', 'Haeke']",Data not available,aek,haek1239,300 (from 2009 census)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Haeke_language
89,Ambele,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Grassfields', 'Ambele']",Data not available,ael,ambe1247,"5,000 (2005)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Ambele_language
90,Arem,"['Austroasiatic', 'Vietic', 'Chut', '\xa0?', 'Arem']",Data not available,aem,arem1240,20 (2015)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Arem_language
91,Armenian Sign Language,['Language isolate'],Data not available,aen,arme1259,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Armenian_Sign_Language
92,Aer,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Western Indo-Aryan', 'Gujarati', 'Aer']","['Jikrio Goth', 'Jamesabad']",aeq,aerr1238,(100 cited 1998)[1],"Sindh, Pakistan",Data not available,Data not available,https://en.wikipedia.org/wiki/Aer_language
