lang,goglottocodettolog,url_x,Unnamed: 0,glottocode,url_y,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang
Aigon,,,773.0,aigh1235,https://en.wikipedia.org/wiki/Getmata_language,"Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero–Vitiaz, Southwest New Britain, Arawe–Pasismanua, Pasismanua, Aigon","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero–Vitiaz, Southwest New Britain, Arawe–Pasismanua, Pasismanua, Aigon",aix,2000 ,"parts of West New Britain Province, Papua New Guinea",Unknown,Unknown
Aikanã,,,1434.0,aika1237,https://en.wikipedia.org/wiki/Aikana_language,Language isolate,Language isolate,tba,150 ,Rondônia,Unknown,Unknown
Aimol_people,,,1264.0,,https://en.wikipedia.org/wiki/Aimol_people,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Aimor%C3%A9,,,1579.0,,https://en.wikipedia.org/wiki/Aimor%C3%A9,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Ainbai,,,882.0,ainb1238,https://en.wikipedia.org/wiki/Ainbai_language,"Border, Bewani Range, Poal River, Ainbai","Border, Bewani Range, Poal River, Ainbai",aic,100 ,Sandaun Province,Unknown,Unknown
Aivilik,,,224.0,,https://en.wikipedia.org/wiki/Aivilingmiutut,"Eskaleut, Eskimo, Inuit, (variously consideredInuvialuktun,  orInuktitut, ), Aivilik","Eskaleut, Eskimo, Inuit, (variously consideredInuvialuktun,  orInuktitut, ), Aivilik",–,Uknown,"Aivilik, Nunavut",Unknown,Unknown
Akatek,,,239.0,west2635,https://en.wikipedia.org/wiki/Akatek_language,"Mayan, Qʼanjobalan–Chujean, Qʼanjobalan, Kanjobal–Jacaltec, Akatek","Mayan, Qʼanjobalan–Chujean, Qʼanjobalan, Kanjobal–Jacaltec, Akatek",knj,"65,000 in Guatemala ",HuehuetenangoChiapas,Unknown, Mexico Guatemala
Akeu,,,183.0,akeu1235title  Akeu,https://en.wikipedia.org/wiki/Akeu_language,"Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Loloish, Southern Loloish, Akeu","Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Loloish, Southern Loloish, Akeu",aeu,Uknown,,Unknown,Unknown
Akhmim,,,1650.0,,https://en.wikipedia.org/wiki/Akhmim,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Akhvakh,,,869.0,akhv1240title  Akhvakhic,https://en.wikipedia.org/wiki/Akhvakh_language,"Northeast Caucasian, Avar–Andic, Andic, Akhvakh–Tindi, Akhvakh","Northeast Caucasian, Avar–Andic, Andic, Akhvakh–Tindi, Akhvakh",akv,210 in Dagestan ,"Southern Dagestan, northern Azerbaijan",Unknown,Unknown
Akkala Sámi,,,489.0,akka1237,https://en.wikipedia.org/wiki/Akkala_S%C3%A1mi,"Uralic, Sámi, Eastern, Mainland, Akkala Sámi","Uralic, Sámi, Eastern, Mainland, Akkala Sámi",sia,Uknown,Southwest Kola Peninsula,Unknown,Unknown
Akum,,,430.0,akum1238,https://en.wikipedia.org/wiki/Akum_language,"Niger–Congo,Atlantic–Congo, Benue–Congo, Plateau, Yukubenic, Akum–Beezen, Akum","Niger–Congo,Atlantic–Congo, Benue–Congo, Plateau, Yukubenic, Akum–Beezen, Akum",aku,"1,400 in Cameroon ",Taraba State,Unknown,Unknown
Akuntsu,,,1003.0,,https://en.wikipedia.org/wiki/Akuntsu,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Akwáwa,,,938.0,tupi1284,https://en.wikipedia.org/wiki/Akw%C3%A1wa_language,"Tupian, Tupí–Guaraní, Group IV, Akwáwa","Tupian, Tupí–Guaraní, Group IV, Akwáwa",Variously:titleasutitle – Asurinítitlemdztitle – titleSuruítitlepaktitle – Parakanã,"1,500 ",Pará,Unknown,Unknown
Alabama,,,517.0,,https://en.wikipedia.org/wiki/Alabama,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Alawa,,,907.0,alaw1244,https://en.wikipedia.org/wiki/Alawa_language,"Macro-Pama-Nyungan,Macro-Gunwinyguan, Marran, Alawa","Macro-Pama-Nyungan,Macro-Gunwinyguan, Marran, Alawa",alh,5 ,"Northern Territory; Arnhem Land, Roper River.",Unknown,Unknown
Aleut,,,1473.0,aleu1260,https://en.wikipedia.org/wiki/Aleut_language,"Eskaleut, Aleut","Eskaleut, Aleut",ale,<80 ,, Alaska,Unknown
Algherese / Alguerese,,,1074.0,algh1238,https://en.wikipedia.org/wiki/Algherese_dialect,"Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Romance, Occitano-Romance, Catalan, Eastern, Insular, Algherese / Alguerese","Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Romance, Occitano-Romance, Catalan, Eastern, Insular, Algherese / Alguerese",–,Uknown,Alghero,Unknown,Unknown
Algonquin,,,870.0,algo1255,https://en.wikipedia.org/wiki/Algonquin_language,"Algic, Algonquian, Ojibwe, -, Potawatomi, Ojibwe, Severn, -Algonquin, , Algonquin","Algic, Algonquian, Ojibwe, -, Potawatomi, Ojibwe, Severn, -Algonquin, , Algonquin",alq,"3,330 ",Quebec and into Ontario,Unknown,Unknown
Altai,,,1748.0,Nonetitlealta1276title  code retired,https://en.wikipedia.org/wiki/Altay_language,"Turkic, Common Turkic, Siberian Turkic,  orKipchak, Southern Siberian or Kyrgyz–Kipchak, , , Altai","Turkic, Common Turkic, Siberian Turkic,  orKipchak, Southern Siberian or Kyrgyz–Kipchak, , , Altai",Either:titleatvtitle – titleNorthern Altaititlealttitle – titleSouthern Altai,"125,700 ","Altai Republic, Altai Krai, Kemerovo Oblast", Russia Altai Republic,Unknown
Alune_people,,,1303.0,,https://en.wikipedia.org/wiki/Alune_people,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Aluo,,,575.0,aluo1235,https://en.wikipedia.org/wiki/Aluo_language,"Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Loloish, Nisoish, Northern Loloish, Nasoid, Aluo","Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Loloish, Nisoish, Northern Loloish, Nasoid, Aluo",yna,"25,000 ",,Unknown,Unknown
Alutiiq,,,1033.0,paci1278,https://en.wikipedia.org/wiki/Alutiiq_language,"Eskaleut, Eskimo, Yupik, Alutiiq","Eskaleut, Eskimo, Yupik, Alutiiq",ems,80 ,coastal Alaska (Alaska Peninsula to Prince William Sound),Alaska,Unknown
Alyutors,,,561.0,,https://en.wikipedia.org/wiki/Alyutors,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Amahai,,,130.0,,https://en.wikipedia.org/wiki/Amahai,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Amahuaca,,,1070.0,,https://en.wikipedia.org/wiki/Amahuaca,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Amanay%C3%A9,,,1756.0,,https://en.wikipedia.org/wiki/Amanay%C3%A9,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Amblong,,,448.0,ambl1237,https://en.wikipedia.org/wiki/Amblong_language,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Amblong","Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Amblong",alm,Uknown,Espiritu Santo,Unknown,Unknown
Amis,,,853.0,amis1246,https://en.wikipedia.org/wiki/Amis_language,"Austronesian, East Formosan, Amis–, Sakizaya, Amis","Austronesian, East Formosan, Amis–, Sakizaya, Amis",ami,"110,000 ",,Unknown,Unknown
Amonap,,,92.0,nucl1656,https://en.wikipedia.org/wiki/Nahukwa_language,"Cariban, (Nahukwa), Amonap","Cariban, (Nahukwa), Amonap",Either:titlekuititle – Kuikúro-Kalapálotitlemzotitle – Matipuhy,"1,000 ","Xingu Indigenous Park, Mato Grosso",Unknown,Unknown
Amuesha,,,897.0,yane1238,https://en.wikipedia.org/wiki/Yanesha_language,"Arawakan, Southern, Western\xa, Amuesha","Arawakan, Southern, Western\xa, Amuesha",ame,"9,800 ",Department of Pasco,Unknown,Unknown
Anambé,,,725.0,anam1249,https://en.wikipedia.org/wiki/Anambe_language,"Tupian, Tupi–Guaraní, Xingu, Anambé","Tupian, Tupi–Guaraní, Xingu, Anambé",aan,6 ,"Pará, Cairari River",Unknown,Unknown
Ancash Quechua,,,1533.0,huay1239,https://en.wikipedia.org/wiki/Ancash_Quechua,"Quechua, Quechua I, Central, Ancash Quechua","Quechua, Quechua I, Central, Ancash Quechua",Variously:titleqwatitle – titleCorongotitleqwhtitle – titleHuaylastitleqxntitle – titleNorte de Conchucostitleqwstitle – titleSihuastitleqxotitle – titleSur de Conchucostitleqvhtitle – Huamalíes y Norte de Dos de Mayo,Uknown,,Unknown,Unknown
Andalusi Romance,,,1339.0,moza1249,https://en.wikipedia.org/wiki/Andalusi_Romance,"Indo-European, Italic, Romance, Western Romance, Ibero-Romance, Pyrenean–Mozarabic, Andalusi Romance","Indo-European, Italic, Romance, Western Romance, Ibero-Romance, Pyrenean–Mozarabic, Andalusi Romance",mxi,Uknown,Al-Andalus,Unknown,Unknown
Andoa,,,120.0,ando1255,https://en.wikipedia.org/wiki/Andoa_language,"Zaparoan, Arabela–Andoa, Andoa","Zaparoan, Arabela–Andoa, Andoa",anb,Uknown,,Unknown,Unknown
Andoque,,,361.0,ando1256,https://en.wikipedia.org/wiki/Andoque_language,"Bora–Witoto, \xa, Andoque–Urequena, Andoque","Bora–Witoto, \xa, Andoque–Urequena, Andoque",ano,370 ,,Unknown,Unknown
Anfillo,,,768.0,anfi1235,https://en.wikipedia.org/wiki/Anfillo_language,"Afro-Asiatic, Omotic, North Omotic, Gonga, Anfillo","Afro-Asiatic, Omotic, North Omotic, Gonga, Anfillo",myo,Uknown,Ethiopia,Unknown,Unknown
Angami,,,1549.0,anga1288,https://en.wikipedia.org/wiki/Angami_language,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman,  Kuki-Chin–Naga, Angami–Pochuri, Angami","Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman,  Kuki-Chin–Naga, Angami–Pochuri, Angami",njm,"150,000 ",Nagaland,Unknown,Unknown
Angika,,,119.0,angi1238,https://en.wikipedia.org/wiki/Angika,"Indo-European, Indo-Iranian, Indo-Aryan, Eastern, Bihari, Angika","Indo-European, Indo-Iranian, Indo-Aryan, Eastern, Bihari, Angika",anp,Around 15 Million[2],"Bihar and Jharkhand (India), Terai (Nepal)[1]"," India
Jharkhand (additional)
",Unknown
Animere,,,1567.0,anim1239,https://en.wikipedia.org/wiki/Animere_language,"Niger–Congo,Atlantic–Congo, Kwa, Kebu–Animere, Animere","Niger–Congo,Atlantic–Congo, Kwa, Kebu–Animere, Animere",anf,30 ,"East Central Ghana, Kecheibi and Kunda villages",Unknown,Unknown
Anindilyakwa,,,1020.0,anin1240,https://en.wikipedia.org/wiki/Anindilyakwa_language,"Macro-Pama–Nyungan,Macro-Gunwinyguan,East Arnhem, Anindilyakwa","Macro-Pama–Nyungan,Macro-Gunwinyguan,East Arnhem, Anindilyakwa",aoi,"1,500 ","Groote Eylandt, Bickerton Island, Northern Territory, Australia",Unknown,Unknown
Antakarinya,,,338.0,anta1253,https://en.wikipedia.org/wiki/Antakirinya_language,"Pama–Nyungan, Wati, Western Desert,Warnman,Antakarinya","Pama–Nyungan, Wati, Western Desert,Warnman,Antakarinya",ant,7 ,northeast area of South Australia,Unknown,Unknown
Anuki,,,651.0,anuk1239,https://en.wikipedia.org/wiki/Anuki_language,"Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear Papuan Tip, ""North Papuan Mainland – DEntrecasteaux"", Anuki","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear Papuan Tip, ""North Papuan Mainland – DEntrecasteaux"", Anuki",aui,890 ,"Milne Bay Province, tip of Cape Vogel",Unknown,Unknown
Anung,,,269.0,nung1282,https://en.wikipedia.org/wiki/Anung_language,"Sino-Tibetan, Nungish, Anung","Sino-Tibetan, Nungish, Anung",nun,450 ,Fugong County,Unknown,Unknown
Anus,,,1310.0,,https://en.wikipedia.org/wiki/Anus,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Anāl,,,1155.0,anal1239,https://en.wikipedia.org/wiki/Anal_language,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman,  Kuki-Chin–Naga, Kuki-Chin, Anāl","Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman,  Kuki-Chin–Naga, Kuki-Chin, Anāl",anm,"14,000 ",Southeast Manipur,Unknown,Unknown
Aore_Island,,,1512.0,,https://en.wikipedia.org/wiki/Aore_Island,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Apatani,,,343.0,apat1240,https://en.wikipedia.org/wiki/Apatani_language,"Sino-Tibetan, Tani, Western Tani, Apatani","Sino-Tibetan, Tani, Western Tani, Apatani",apt,"44,815 ",Arunachal Pradesh,Unknown,Unknown
Apiac%C3%A1,,,1305.0,,https://en.wikipedia.org/wiki/Apiac%C3%A1,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Apinayé,,,366.0,apin1244,https://en.wikipedia.org/wiki/Apinay%C3%A9_language,"Macro-Jê, Jê, Cerrado, Jê of Goyaz, Northern Jê, Trans-Tocantins, Apinayé","Macro-Jê, Jê, Cerrado, Jê of Goyaz, Northern Jê, Trans-Tocantins, Apinayé",apn,"2,300 ",Tocantins,Unknown,Unknown
Apurin%C3%A3,,,1494.0,,https://en.wikipedia.org/wiki/Apurin%C3%A3,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
"Araban,_Dorud",,,1435.0,,"https://en.wikipedia.org/wiki/Araban,_Dorud",Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Arabela,,,894.0,arab1268,https://en.wikipedia.org/wiki/Arabela_language,"Zaparoan, Arabela–Andoa, Arabela","Zaparoan, Arabela–Andoa, Arabela",arl,50 ,, Peru,Unknown
Aragonese,,,1633.0,arag1245,https://en.wikipedia.org/wiki/Aragonese_language,"Indo-European, Italic, Latino-Faliscan, Latin, Romance, Italo-Western, Western Romance, (unclassified), (in some classifications) Pyrenean–Mozarabic, Aragonese","Indo-European, Italic, Latino-Faliscan, Latin, Romance, Italo-Western, Western Romance, (unclassified), (in some classifications) Pyrenean–Mozarabic, Aragonese",arg,"Active speakers: 10,000–12,000 ",Aragon; northern and central Huesca and northern Zaragoza,Unknown,"Spain
Aragon (Protected language status)
"
Araki,,,1709.0,arak1252,https://en.wikipedia.org/wiki/Araki_language,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Araki","Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Araki",akr,8 ,"Araki Island, Espiritu Santo",Unknown,Unknown
Araona,,,1083.0,arao1248,https://en.wikipedia.org/wiki/Araona_language,"Pano–TacaUknown, TacaUknown, Araona–Tacana, Araona","Pano–TacaUknown, TacaUknown, Araona–Tacana, Araona",aro,110 ,La Paz Department (Bolivia), Bolivia,Unknown
Arapaho,,,1076.0,arap1274,https://en.wikipedia.org/wiki/Arapaho_language,"Algic, Algonquian, Arapahoan, Arapaho","Algic, Algonquian, Arapahoan, Arapaho",arp,"1,100 ","Wind River Indian Reservation, Wyoming; Oklahoma",Unknown,Unknown
Arara_(Par%C3%A1),,,764.0,,https://en.wikipedia.org/wiki/Arara_(Par%C3%A1),Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Arawak,,,1738.0,araw1276,https://en.wikipedia.org/wiki/Lokono_language,"Arawakan, Northern, Ta-Arawakan, Arawak","Arawakan, Northern, Ta-Arawakan, Arawak",arw,Uknown,Guianas,Unknown,Unknown
Arawet%C3%A9,,,968.0,,https://en.wikipedia.org/wiki/Arawet%C3%A9,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Arbore,,,438.0,,https://en.wikipedia.org/wiki/Arbore,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Arbëresh,,,1654.0,arbe1236,https://en.wikipedia.org/wiki/Arb%C3%ABresh_language,"Indo-European, Albanian, Tosk, Arbëresh","Indo-European, Albanian, Tosk, Arbëresh",aae,"70,000-100,000[1]","Abruzzo, Apulia, Basilicata, Calabria, Campania, Molise, Sicily",Unknown,Unknown
Arguni,,,1588.0,argu1237,https://en.wikipedia.org/wiki/Arguni_language,"Austronesian, Malayo-Polynesian, Central–Eastern Malayo-Polynesian, Kei–Tanimbar, Bedoanas–Erokwanas, Arguni","Austronesian, Malayo-Polynesian, Central–Eastern Malayo-Polynesian, Kei–Tanimbar, Bedoanas–Erokwanas, Arguni",agf,150 ,"Arguni Island, north coast Bomberai Peninsula",Unknown,Unknown
Arhuaco,,,1673.0,arhu1242,https://en.wikipedia.org/wiki/Aruaco_language,"Chibchan, Arwako–Chimila, Arwako languages, Arhuaco","Chibchan, Arwako–Chimila, Arwako languages, Arhuaco",arh,"8,000 ",,Unknown,Unknown
Arhâ,,,1551.0,arha1237,https://en.wikipedia.org/wiki/Arha_language,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, New Caledonian – Loyalties, New Caledonian, Southern, South Southern, Wailic, Arhâ","Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, New Caledonian – Loyalties, New Caledonian, Southern, South Southern, Wailic, Arhâ",aqr,170 ,"Poya, New Caledonia",Unknown,Unknown
Arhö,,,1249.0,arho1237,https://en.wikipedia.org/wiki/Arho_language,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, New Caledonian – Loyalties, New Caledonian, Southern, South Southern, Wailic, Arhö","Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, New Caledonian – Loyalties, New Caledonian, Southern, South Southern, Wailic, Arhö",aok,10 ,New Caledonia,Unknown,Unknown
Aribwatsa,,,411.0,arib1241,https://en.wikipedia.org/wiki/Aribwatsa_language,"Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, Huon Gulf, Markham, Lower Markham, Busu, Aribwatsa","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, Huon Gulf, Markham, Lower Markham, Busu, Aribwatsa",laz,Uknown,New Guinea,Unknown,Unknown
Arikapú,,,1507.0,arik1265,https://en.wikipedia.org/wiki/Arikap%C3%BA_language,"Macro-Gê, \xa, Yabutian, Arikapú","Macro-Gê, \xa, Yabutian, Arikapú",ark,2 ,"Rondônia, at the headwaters of the Rio Branco",Unknown,Unknown
Arikara,,,1366.0,,https://en.wikipedia.org/wiki/Arikara,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Arman,,,94.0,,https://en.wikipedia.org/wiki/Arman,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Aromanian,,,160.0,arom1237,https://en.wikipedia.org/wiki/Aromanian_language,"Indo-European, Italic, Latino-Faliscan, Latin, Romance, Eastern Romance, , Aromanian","Indo-European, Italic, Latino-Faliscan, Latin, Romance, Eastern Romance, , Aromanian",rup,"210,000 ",Balkans,Unknown, Albania North Macedonia
Arutani,,,1660.0,arut1244,https://en.wikipedia.org/wiki/Uruak_language,"Arutani–Sape, \xa, Arutani","Arutani–Sape, \xa, Arutani",atx,6 ,"Roraima (Brazil); 
Karum River area, Bolivar State (Venezuela)",Unknown,Unknown
Arvanitika,,,1179.0,arva1236,https://en.wikipedia.org/wiki/Arvanitika,"Indo-European, Albanian, Tosk, Arvanitika","Indo-European, Albanian, Tosk, Arvanitika",aat,"50,000 ","Attica, Boeotia, South Euboea, Saronic Islands; Western Thrace; Peloponnese; some villages in NW of Greece; N of island of Andros; more than 500 villages in total[1]",Unknown,Unknown
Asa,,,754.0,aasa1238,https://en.wikipedia.org/wiki/Asa_language,"Afro-Asiatic, Cushitic, Rift,East Rift, Asa","Afro-Asiatic, Cushitic, Rift,East Rift, Asa",aas,Uknown,Tanzania,Unknown,Unknown
Ashtiani,,,1012.0,asht1244,https://en.wikipedia.org/wiki/Ashtiani_language,"Indo-European, Indo-Iranian, Iranian, Western, Northwestern II, Tatic, Tafresh, Ashtiani","Indo-European, Indo-Iranian, Iranian, Western, Northwestern II, Tatic, Tafresh, Ashtiani",atn,"27,000 ","Ashtian, Tafresh",Unknown,Unknown
Asháninka,,,1126.0,asha1243,https://en.wikipedia.org/wiki/Ashaninka_language,"Arawakan, Southern, Campa, Asháninka","Arawakan, Southern, Campa, Asháninka",cni,"35,000 ",,Unknown,Unknown
Assiniboine,,,1361.0,assi1247,https://en.wikipedia.org/wiki/Assiniboine_language,"Siouan, Western Siouan,  (Core), Mississippi Valley Siouan, Dakotan, Assiniboine","Siouan, Western Siouan,  (Core), Mississippi Valley Siouan, Dakotan, Assiniboine",asb,"150, 4.3% of ethnic population ","Saskatchewan, Canada
Montana, United States",Unknown,Unknown
Asumboa,,,207.0,asum1237,https://en.wikipedia.org/wiki/Asumbuo_language,"Austronesian, Malayo-Polynesian, Oceanic, Temotu, Utupua, Asumboa","Austronesian, Malayo-Polynesian, Oceanic, Temotu, Utupua, Asumboa",aua,Uknown,Utupua,Unknown,Unknown
Asunción Mixtepec Zapotec,,,525.0,asun1236,https://en.wikipedia.org/wiki/Asunci%C3%B3n_Mixtepec_Zapotec,"Oto-Manguean, Zapotecan, Zapotec, Central Zapotec, Valley, Asunción Mixtepec Zapotec","Oto-Manguean, Zapotecan, Zapotec, Central Zapotec, Valley, Asunción Mixtepec Zapotec",zoo,Uknown,Oaxaca,Unknown,Unknown
Atacama_people,,,1525.0,,https://en.wikipedia.org/wiki/Atacama_people,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Atayal_people,,,1599.0,,https://en.wikipedia.org/wiki/Atayal_people,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Athpare,,,57.0,athp1241,https://en.wikipedia.org/wiki/Athpahariya_language,"Sino-Tibetan, Tibeto-Burman, Mahakiranti,  Kiranti, Eastern, Greater Yakkha, Athpare","Sino-Tibetan, Tibeto-Burman, Mahakiranti,  Kiranti, Eastern, Greater Yakkha, Athpare",aph,"5,500 ","Dhankuta District, Nepal",Unknown,Unknown
Atikamekw,,,1496.0,,https://en.wikipedia.org/wiki/Atikamekw,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Atruahí,,,1446.0,waim1253,https://en.wikipedia.org/wiki/Waimiri-Atroari_language,"Cariban, Atruahí–, Boanarí, Atruahí","Cariban, Atruahí–, Boanarí, Atruahí",atr,930 ,,Unknown,Unknown
Atsugewi,,,216.0,,https://en.wikipedia.org/wiki/Atsugewi,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
