,glottocode,name,isocodes,level,macroarea,latitude,longitude,name_normalized,Name in English,Number of speakers,Degree of endangerment,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang,url
57,arak1252,Araki,akr,language,Papunesia,-15.632997,166.952542,araki,Araki,8,Critically endangered,Araki,<ul><li>Austronesian</li><ul><li> Malayo-Polynesian</li><ul><li> Oceanic</li><ul><li> Southern Oceanic</li><ul><li> North-Central Vanuatu</li><ul><li> North Vanuatu</li><ul><li> Espiritu Santo</li><ul><li> Araki</li></ul></ul></ul></ul></ul></ul></ul></ul>,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Araki",akr,8 ,"Araki Island, Espiritu Santo",Unknown,Unknown,https://en.wikipedia.org/wiki/Araki_language
58,arao1248,Araona,aro,language,South America,-12.4242,-67.7293,araona,Araona,81,Severely endangered,Araona,<ul><li>Pano–TacaUknown</li><ul><li> TacaUknown</li><ul><li> Araona–Tacana</li><ul><li> Araona</li></ul></ul></ul></ul>,"Pano–TacaUknown, TacaUknown, Araona–Tacana, Araona",aro,110 ,La Paz Department (Bolivia), Bolivia,Unknown,https://en.wikipedia.org/wiki/Araona_language
59,araw1273,Araweté,awt,language,South America,-4.90246,-52.5001,araweté,Araweté,339,Vulnerable,,<ul><li>Unknown</li></ul>,,,,,,,
60,arba1240,Arbanasi,,dialect,Eurasia,,,arbanasi,Arbanasi,500,Severely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
61,arbo1245,Arbore,arv,language,Africa,4.92183,36.7986,arbore,Arbore,4441,Definitely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
62,arch1244,Archi,aqc,language,Eurasia,42.3239,46.8267,archi,Archi,524,Definitely endangered,Archi,<ul><li>Northeast Caucasian</li><ul><li> Lezgic</li><ul><li> </li><ul><li> Archi</li></ul></ul></ul></ul>,"Northeast Caucasian, Lezgic, , Archi",aqc,970 ,"Archib, Dagestan",Unknown,Unknown,https://en.wikipedia.org/wiki/Archi_language
63,arem1240,Arem,aem,language,Eurasia,17.7672,105.928,arem,Arem,100,Severely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
64,argo1244,Argobba,agj,language,Africa,10.6596,39.756,argobba,Argobba,8000,Critically endangered,,<ul><li>Unknown</li></ul>,,,,,,,
65,argu1237,Arguni,agf,language,Papunesia,-2.645798,132.5556,arguni,Arguni,150,Vulnerable,Arguni,<ul><li>Austronesian</li><ul><li> Malayo-Polynesian</li><ul><li> Central–Eastern Malayo-Polynesian</li><ul><li> Kei–Tanimbar</li><ul><li> Bedoanas–Erokwanas</li><ul><li> Arguni</li></ul></ul></ul></ul></ul></ul>,"Austronesian, Malayo-Polynesian, Central–Eastern Malayo-Polynesian, Kei–Tanimbar, Bedoanas–Erokwanas, Arguni",agf,150 ,"Arguni Island, north coast Bomberai Peninsula",Unknown,Unknown,https://en.wikipedia.org/wiki/Arguni_language
66,arii1243,Ari,aac,language,Papunesia,-7.95526,142.4,ari,Ari,80,Severely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
67,arib1241,Aribwatsa,laz,language,Papunesia,-6.72266,146.991,aribwatsa,Aribwatsa,0,Extinct,Aribwatsa,<ul><li>Austronesian</li><ul><li> Malayo-Polynesian</li><ul><li> Oceanic</li><ul><li> Western Oceanic</li><ul><li> Huon Gulf</li><ul><li> Markham</li><ul><li> Lower Markham</li><ul><li> Busu</li><ul><li> Aribwatsa</li></ul></ul></ul></ul></ul></ul></ul></ul></ul>,"Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, Huon Gulf, Markham, Lower Markham, Busu, Aribwatsa",laz,Uknown,New Guinea,Unknown,Unknown,https://en.wikipedia.org/wiki/Aribwatsa_language
68,arik1262,Arikara,ari,language,North America,45.0,-100.0,arikara,Arikara,10,Critically endangered,Arikara,<ul><li>Caddoan</li><ul><li> Northern</li><ul><li> Pawnee–</li><ul><li> Kitsai</li><ul><li> Pawnee</li><ul><li> –Arikara</li><ul><li> Arikara</li></ul></ul></ul></ul></ul></ul></ul>,"Caddoan, Northern, Pawnee–, Kitsai, Pawnee, –Arikara, Arikara",ari,10 ,North-central North Dakota,Unknown,Unknown,https://en.wikipedia.org/wiki/Arikara_language
69,arin1243,Arin,xrn,language,Eurasia,57.0,93.0,arin,Arin,0,Extinct,Arin,<ul><li>Dené–Yeniseian</li><ul><li>Yeniseian</li><ul><li> Southern Yeniseian</li><ul><li> Arin–</li><ul><li> Pumpokol</li><ul><li> Arin</li></ul></ul></ul></ul></ul></ul>,"Dené–Yeniseian,Yeniseian, Southern Yeniseian, Arin–, Pumpokol, Arin",xrn,Uknown,Yenisei River,Unknown,Unknown,https://en.wikipedia.org/wiki/Arin_language
70,arma1243,Arman,,language,Eurasia,59.67099,150.13239,arman,Arman,0,Extinct,,<ul><li>Unknown</li></ul>,,,,,,,
71,arom1237,Aromanian,rup,language,Eurasia,40.616,21.2,aromanian,Aromanian,500000,Definitely endangered,Aromanian,<ul><li>Indo-European</li><ul><li> Italic</li><ul><li> Latino-Faliscan</li><ul><li> Latin</li><ul><li> Romance</li><ul><li> Eastern Romance</li><ul><li> </li><ul><li> Aromanian</li></ul></ul></ul></ul></ul></ul></ul></ul>,"Indo-European, Italic, Latino-Faliscan, Latin, Romance, Eastern Romance, , Aromanian",rup,"210,000 ",Balkans,Unknown, Albania North Macedonia,https://en.wikipedia.org/wiki/Aromanian_language
72,arta1239,Arta,atz,language,Papunesia,16.4185,121.656,arta,Arta,0,Extinct,,<ul><li>Unknown</li></ul>,,,,,,,
73,asss1237,As,asz,language,Papunesia,-0.75267,131.728,as,As,230,Vulnerable,,<ul><li>Unknown</li></ul>,,,,,,,
74,ashk1246,Ashkun,ask,language,Eurasia,35.10699,70.542035,ashkun,Ashkun,2000,Definitely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
75,asht1244,Ashtiani,atn,language,Eurasia,37.7469,48.6808,ashtiani,Ashtiani,21000,Definitely endangered,Ashtiani,<ul><li>Indo-European</li><ul><li> Indo-Iranian</li><ul><li> Iranian</li><ul><li> Western</li><ul><li> Northwestern II</li><ul><li> Tatic</li><ul><li> Tafresh</li><ul><li> Ashtiani</li></ul></ul></ul></ul></ul></ul></ul></ul>,"Indo-European, Indo-Iranian, Iranian, Western, Northwestern II, Tatic, Tafresh, Ashtiani",atn,"27,000 ","Ashtian, Tafresh",Unknown,Unknown,https://en.wikipedia.org/wiki/Ashtiani_language
76,asum1237,Asumboa,aua,language,Papunesia,-11.2969,166.499,asumboa,Asumboa,40,Severely endangered,Asumboa,<ul><li>Austronesian</li><ul><li> Malayo-Polynesian</li><ul><li> Oceanic</li><ul><li> Temotu</li><ul><li> Utupua</li><ul><li> Asumboa</li></ul></ul></ul></ul></ul></ul>,"Austronesian, Malayo-Polynesian, Oceanic, Temotu, Utupua, Asumboa",aua,Uknown,Utupua,Unknown,Unknown,https://en.wikipedia.org/wiki/Asumbuo_language
77,ataa1240,Ata,atm,language,Papunesia,9.715,122.9,ata,Ata,2000,Critically endangered,,<ul><li>Unknown</li></ul>,,,,,,,
78,atik1240,Atikamekw,atj,language,North America,47.9555,-73.7989,atikamekw,Atikamekw,4155,Vulnerable,Atikamekw,<ul><li>Algic</li><ul><li> Algonquian</li><ul><li> Cree</li><ul><li> -</li><ul><li> Montagnais</li><ul><li> -</li><ul><li> Naskapi</li><ul><li> </li><ul><li> Atikamekw</li></ul></ul></ul></ul></ul></ul></ul></ul></ul>,"Algic, Algonquian, Cree, -, Montagnais, -, Naskapi, , Atikamekw",atj,"6,200 ",Quebec,Unknown,Unknown,https://en.wikipedia.org/wiki/Atikamekw_language
79,atsu1245,Atsugewi,atw,language,North America,40.4271,-120.661,atsugewi,Atsugewi,0,Extinct,,<ul><li>Unknown</li></ul>,,,,,,,
80,auye1238,Auye,auu,language,Papunesia,-3.43705,136.096,auye,Auye,350,Vulnerable,,<ul><li>Unknown</li></ul>,,,,,,,
81,avar1256,Avar,ava,language,Eurasia,41.7047,46.558,avar,Avar,784840,Vulnerable,Avar,<ul><li>Northeast Caucasian</li><ul><li> Avar–Andic</li><ul><li> Avar</li></ul></ul></ul>,"Northeast Caucasian, Avar–Andic, Avar",Either:titleavatitle – Avarictitleoavtitle – Old Avar,"1,200,000 ",," Russia
 Dagestan
",Unknown,https://en.wikipedia.org/wiki/Avar_language
82,awer1241,Awera,awr,language,Papunesia,-2.71886,136.063,awera,Awera,70,Vulnerable,Awera,<ul><li>Lakes Plain</li><ul><li> Wapoga</li><ul><li> Awera</li></ul></ul></ul>,"Lakes Plain, Wapoga, Awera",awr,70 ,"Awera village[1] in Wapoga District, Waropen Regency, Papua",Unknown,Unknown,https://en.wikipedia.org/wiki/Awera_language
83,awyi1241,Awyi,auw,language,Papunesia,-3.00564,140.604,awyi,Awyi,350,Vulnerable,Awyi,<ul><li>Border</li><ul><li> Upper Tami</li><ul><li> Awyi</li></ul></ul></ul>,"Border, Upper Tami, Awyi",auw,350 ,Papua,Unknown,Unknown,https://en.wikipedia.org/wiki/Awyi_language
84,ayau1235,Ayautla Mazatec,vmy,language,North America,18.0993,-96.5952,ayautla mazatec,Ayautla Mazatec,3192,Vulnerable,Ayautla Mazatec,<ul><li>Oto-Manguean</li><ul><li> Popolocan</li><ul><li> Mazatecan</li><ul><li> Highland</li><ul><li> Western</li><ul><li> Ayautla Mazatec</li></ul></ul></ul></ul></ul></ul>,"Oto-Manguean, Popolocan, Mazatecan, Highland, Western, Ayautla Mazatec",vmy,"3,700 ",Oaxaca,Unknown,Unknown,https://en.wikipedia.org/wiki/Ayautla_Mazatec_language
