,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang
22,Mongolian_language,"['Mongolic', '\nCentral Mongolic', 'Buryat', '–Mongolian', 'Mongolian']","['Khalkha', 'Oirat', 'Peripheral']",mon – inclusive codeIndividual codes:khk – Khalkha Mongolianmvf – Peripheral Mongolian (part),(8-9million cited 1982–2020)[1],"All of Mongolia, Inner Mongolia, Buryatia, Kalmykia; parts of Irkutsk Oblast, Zabaykalsky Krai in Russia; parts of Liaoning, Jilin, Heilongjiang, Xinjiang, Gansu and Qinghai provinces in China; Issyk-Kul Region in Kyrgyzstan"," Mongolia China
Inner Mongolia[2]
Xinjiang
Bortala Mongol Autonomous Prefecture
Bayingolin Mongol Autonomous Prefecture
Hoboksar Mongol Autonomous County
Qinghai
Haixi Mongol and Tibetan Autonomous Prefecture
",
23,Six_Nations_of_the_Grand_River_First_Nation,,,,,,,
24,Ladakh,,,,,,,
25,Bemba_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', ' (', 'Zone M.40–50', ')', 'Sabi', 'South Sabi', 'Bemba']",['Town Bemba'],bem,4.1 million (2000–2010 census)[1],,, Zambia
26,German-speaking_Community_of_Belgium,,,,, Wallonia,,
27,Pitjantjatjara_language,"['Pama–Nyungan', 'Wati', 'Western Desert', 'Pitjantjatjara']",,pjt,"3,458 (2021 census)[1]","Northwest South Australia, Pitjantjatjara freehold lands, Yalata; southwest corner, Northern Territory; also in Western Australia",,
28,Provinces_of_the_Netherlands,,,,,,,
29,Gilbertese,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Micronesian', 'Micronesian Proper', 'Gilbertese']",,gil,"120,000 (2002–2019)[1]",, Kiribati,
30,Gan_Chinese,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Gan']","['Nanchangese', 'Yichun', 'Yingtan', 'Daye']",gan,23 million (2021)[1],"central and northern Jiangxi, eastern Hunan, eastern Hubei, southern Anhui, northwest Fujian",,
31,Wa_language,"['Austroasiatic', 'Khasi–Palaungic', 'Palaungic', 'Waic', 'Wa']",,Variously:prk – Paraukwbm – Vovwa – Awa,"900,000 (2000–2008)[1]","China, Laos, Myanmar, Thailand",,
32,Batak_languages,,,,"3,318,360 (2010 census)[3]",,,
33,India,,,,,,,
34,West_Java,,,,,,,
35,Awadhi,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Central Zone', 'Eastern Hindi', 'Awadhi']","['Pardesi', 'Gangapari', 'Uttari', 'Fiji Hindi', 'Caribbean Hindustani']",awa,"3.85 million in India (2011)[1][2][3][4]500,000 in Nepal (2011)[citation needed]",Awadh, Fiji (as Fiji Hindi),
36,Bahawalpur_South_Punjab,,,,,,,
37,Kyrgyz_language,"['Turkic', 'Common Turkic', 'Kipchak', 'Kyrgyz–Kipchak', 'Kyrgyz']",['Pamiri Kyrgyz'],kir,5.15 million (2009 census)[1],Central Asia," Kyrgyzstan
 China

Kizilsu Kyrgyz Autonomous Prefecture

Organisations:
 Organization of Turkic States Collective Security Treaty Organization
",
38,Province_of_Salamanca,,,,,,,
39,Turkmenistan,,,,,,,
40,Silesian_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Lechitic', '[2]', 'Silesian']","['Cieszyn', 'Sulkovian', 'Texan', 'Prudnik', 'Niemodlin']",szl,"457,900 (2021 census)[1]",Silesia,,
41,Caddo_language,"['Caddoan', 'Caddo']",,cad,2 (2023)[2],Caddo County in western Oklahoma,,
42,Ewe_language,"['Niger–Congo', '?\n', 'Atlantic-Congo', 'Volta–Congo', 'Volta-Niger', 'Gbe', 'Ewe']",,Variously:ewe – Ewewci – Wacikef – Kpesi,5.0 million (2013–2019)[1],Southern Ghana east of the Volta River,,
43,Samoan_language,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern Malayo-Polynesian', '?', 'Eastern Malayo-Polynesian', 'Oceanic', 'Central–Eastern Oceanic', 'Central Pacific', 'East Central Pacific', 'Polynesian', 'Nuclear Polynesian', 'Samoic', '?', 'Samoan–', 'Tokelauan', 'Samoan']",,smo,"510,000 (2015)[1]",Asia-Pacific, Samoa American Samoa,
44,Lower_Egypt,,,,,,,
45,Ladin_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Iberian', 'Gallo-Romance', 'Rhaeto-Romance', ' or Gallo-Rhaetian', '[4]', 'Ladin']","['Cadorino', 'Nones', 'Fornes', 'etc.']",lld,"41,129 (2006[1]–2011[2][3])",Ladinia (Trentino-Alto Adige/SüdtirolVeneto),,
46,Ga_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Kwa', 'Ga–Dangme', 'Ga']",,gaa,"745,000 (2016)[1]","South-eastern Ghana, around Accra",None. Government sponsored language.,
47,Tangut_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Qiangic', 'Gyalrongic', 'West Gyalrongic', 'Tangut']",,txg,,,Western Xia,
48,Oromo_language,"['Afro-Asiatic', 'Cushitic', 'Lowland East', 'Oromoid', 'Oromo']",,orm – inclusive codeIndividual codes:gax – Borana–Arsi–Guji Oromohae – Eastern Oromoorc – Ormagaz – West Central Oromossn – Waata,"45.5 million (all countries) (2022)[2]41.7 million in Ethiopia (2022), 627,000 in Kenya (2019),[3] 110,000 in Sudan (2022),[1]  100,000 in Somalia (2024)[1]",Oromia, Ethiopia[4], Kenya
49,Sindhi_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northwestern', 'Sindhic', 'Sindhi']",,snd,c. 32 million (2011–2017)[1],Sindh and near the border in neighbouring regions (e.g. Kutch and Balochistan)," Pakistan
 Sindh[a][3]
 India[b][c]",
50,Ingushetia,,,,,,,
51,Lakha_language,"['Sino-Tibetan', 'Tibeto-Kanauri', '\xa0?', 'Bodish', 'Tibetic', 'Dzongkha–Lhokä', 'Lakha']",,lkh,"(8,000 cited 1993)[1]",Bhutan,,
52,People%27s_Republic_of_Bangladesh,,,,,,,
53,Jordan,,,,,,,
54,Vietnam,,,,,,,
55,Tongva_language,"['Uto-Aztecan', 'Northern Uto-Aztecan', 'Takic', 'Serran', 'Tongva']",,xgf,,"Los Angeles, Santa Catalina Island",,
56,Zoroastrian,,,,,,,
57,Aas%C3%A1x,"['Afro-Asiatic', 'Cushitic', 'Rift', '?', 'East Rift', 'Asa']",,aas,,Tanzania,,
58,Pu-Xian_Min,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Min', 'Coastal Min', 'Pu–Xian Min']","['Putian', 'Xianyou']",cpx,3.15 million (2022)[1],"Fujian (Putian, parts of Fuzhou and Quanzhou)",,
59,Harari_Region,,,,,,,
60,Kamchatka_Krai,,,,,,,
61,Dakhini,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Central Zone', 'Western Hindi', 'Hindustani', 'Deccani']","['Hyderabadi', 'Mysore', '\nMadrasi']",–,,South Asia Maharashtra  Karnataka  Telangana Andhra Pradesh Tamil Nadu Goa,,
62,Chuvash_language,"['Turkic', 'Oghuric', 'Chuvash']",,chv,"740,000 (2020 census)[1]",Volga region (esp. Chuvashia),Chuvashia (Russia),
63,"Northern_Region,_Uganda",,,,,Northern,,
64,Vai_language,"['Mande', '\nWestern Mande', 'Central', 'Manding–Jogo', 'Manding–Vai', 'Vai–Kono', 'Vai']",,vai,"(120,000 cited 1991–2006)[1]",Africa,,
65,Northern_Thai_language,"['Kra–Dai', 'Tai', 'Southwestern', ' (Thai)', 'Chiang Saen', 'Northern Thai']",,nod,6 million (2015)[1],Northern Thailand,, Thailand
66,Quechua_people,,,,,,,
67,Bhojpuri,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bihari', 'Bhojpuri']","['Northern Standard Bhojpuri', 'Western Standard Bhojpuri', 'Southern Standard Bhojpuri', 'Domra', 'Musahari', 'Caribbean Hindustani', '\xa0', '·', ' Trinidadian Hindustani', '\xa0', '·', ' Guyanese Hindustani', '\xa0', '·', ' Sarnami Hindoestani', 'Nagpuriya Bhojpuri', 'Fiji Hindi', 'Mauritian Bhojpuri', '[2]', 'South African Bhojpuri ', '(Naitali)', '[3]']",bho,"51 million, partial count (2011 census)[1](additional speakers counted under Hindi)",Bhojpur-Purvanchal, Fiji (as Fiji Hindi)," India
Jharkhand[4]
"
68,Southern_Transdanubia,,,,,,,
69,Southern_Kurdish,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Western', 'Northwestern', 'Kurdish', 'Southern Kurdish']","['Feylî', 'Kelhurrî', 'Lekî', 'Xaneqînî', 'Gerrûsî', ' (', 'Bîcarî', ')', 'Kermanshahî', 'Kolyai', 'Sanjâbî', 'Melikşayî', 'Bayray', 'Kordalî']",sdh,4.25 million in Iran (2021)[1]unknown number in Iraq,Kurdistan,,
70,Tumpoon_language,"['Austroasiatic', 'Bahnaric', 'Central', 'Tampuan']",,tpu,"31,000 (2008 census)[1]to 57,000 (2013 survey)[2]",,,
71,Mari_El,,,,,,,
72,Normandy,,,,,,,
73,Adele_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Anii–Adere', 'Adele']",,ade,"37,000 (2003–2012)[1]",Ghana and Togo,,
74,Ruthenian_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'East Slavic', 'Ruthenian']",,None (mis),,,Grand Duchy of Lithuania[3][4] (later replaced by Polish[4]),
75,Cebuano_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Greater Central Philippine', 'Central Philippine', 'Bisayan', 'Cebuano']","['Standard Cebuano (Cebu Island)', 'Urban Cebuano (Metro Cebu)', 'Negros Cebuano', 'Bohol Cebuano', 'Leyte Cebuano (Kanâ)', 'Mindanao Cebuano', 'Davao Cebuano']",ceb,1.72 million (2023)[1],"Central Visayas, eastern Negros, western parts of Eastern Visayas, and most parts of Mindanao",,Regional language in the Philippines
76,Khanty-Mansi_Autonomous_Okrug,,,,,,,
77,Fon_people,,,,,,,
78,Cocos_(Keeling)_Islands,,,,,,,
79,Chakma_Autonomous_District_Council,,,,,,,
80,Abaza_language,"['Northwest Caucasian', 'Abazgi', 'Abaza']",,abq,"49,800 (2010–2014)[1]",Karachay-Cherkessia, Russia Karachay-Cherkessia,
81,Bashkir_language,"['Turkic', 'Common Turkic', 'Kipchak', 'Kipchak–Bulgar', 'Bashkir']",,bak,1.2 million (2020 census)[1],"Volga, Ural region", Bashkortostan (Russia),
82,Cupe%C3%B1o_language,"['Uto-Aztecan', 'Northern Uto-Aztecan', 'Takic', 'Cupan', 'Cahuilla', '–Cupeño', 'Cupeño']",,cup,,"Southern California, United States",,
83,Guaran%C3%AD_language,"['Tupian', 'Tupi–Guarani', 'Guarani (I)', 'Guaraní', 'Guaraní']","['Jopará', 'Correntino', 'Simba', 'Chawuncu', 'Tsiripá', 'Mbyá']",gug,6.5 million (2020)[1],, Paraguay ,
84,Narathiwat_Province,,,,,,,
85,Limbu_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Mahakiranti', ' (?)', 'Kiranti', 'Limbu']","['Phedape', 'Chhathare', 'Panthare', 'Tambarkhole']",lif,"380,000 (2011 census)[1]",Nepal; significant communities in Bhutan; Sikkim and Darjeeling district of India," Nepal
Koshi Province
 India

Sikkim (additional)
",
86,Romanian_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Eastern', 'Northern Romanian', '?', '[b]', 'Eastern Romanian', '?', '[b]', 'Romanian']","['Transylvanian', 'Crișana', 'Moldavian', 'Banat', 'Wallachian', 'Maramureș', 'Bukovinian']",ron,25 million (2020)[1],"Central Europe, Southeastern Europe, and Eastern Europe"," Romania[4] Moldova[5] Transnistria (as ""Moldovan"")[6] Vojvodina (Serbia)[7] European Union[8]"," Hungary[9] Serbia (both as Romanian and ""Vlach"")[10] Ukraine (both as Romanian and ""Moldovan"")[11]"
87,Shavian_alphabet,,,,,,,
88,Ewe_people,,,,,,,
89,Filipino_Sign_Language,"['French Sign', 'American Sign', '?', 'Filipino Sign Language']",,psp,"121,000 (2008) to est. 325,000–650,000 (2021)[1]",,,
90,Muscogee_Creek_language,"['Muskogean', '\nEastern', 'Muscogee']",,mus,"4,500 (2015 census)[1]","East central Oklahoma, Muscogee and Seminole, south Alabama Creek, Florida, Seminole of Brighton Reservation.", United States   Muscogee Nation,
91,Akum_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Yukubenic', 'Akum–Beezen', 'Akum']",,aku,"1,400 in Cameroon (2002)[1]few in Nigeria (no date), three villages[1]",Taraba State,,
92,Coptic_language,"['Afro-Asiatic', 'Egyptian', 'Coptic']","['Bohairic', 'Sahidic', 'Akhmimic', 'Lycopolitan', 'Fayyumic', 'Oxyrhynchite']",cop,,,,
93,Min_Chinese,,,,,,,
94,Scottish_Gaelic,"['Indo-European', 'Celtic', 'Insular Celtic', 'Goidelic', 'Scottish Gaelic']","['Argyll', 'Arran', ' ', '†', 'Beurla Reagaird', 'Canadian', 'Deeside', ' ', '†', 'East Sutherland', ' ', '†', 'Galwegian', ' ', '†', 'Hebridean', 'Lewis', 'Mid-Minch', 'Perthshire', 'West Sutherland', 'others']",gla,"57,000 fluent L1 and L2 speakers in Scotland (2011)[1]87,000 people in Scotland reported having some Gaelic language ability in 2011;[1] 1,300 fluent in Nova Scotia[2]","Scotland; Cape Breton Island, Nova Scotia",,"Canada
Nova Scotia
"
95,Onge_language,"['Ongan', 'Onge']",,oon,"94, 93% of ethnic population (2006)[1]Mainly monolingual. Speakers reserved toward outsiders.[2]","South Andaman Islands, Dugong Creek and South Bay islands.",,
96,Rajasthani_languages,,,raj,16 million (2011 census)[1],,,
97,Libya,,,,,,,
98,North_Africa,,,,,,,
99,Javanese_language,"['Austronesian', 'Malayo-Polynesian', 'Javanese']",['Javanese dialects'],Variously:jav – Javanesejvn – Caribbean Javanesejas – New Caledonian Javaneseosi – Osingtes – Tenggerese,68 million (2015)[1],,"Indonesia
Special Region of Yogyakarta (co-official with Indonesian)[2]
",
100,Luganda_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Northeast Bantu', 'Great Lakes Bantu', 'West Nyanza', 'North Nyanza', 'Ganda']","['Ludiope', 'Luvuma', 'Sese']",lug,L1: 5.6 million (2014)[1]L2: 5.4 million (2014)[1],Buganda,,
101,Ket_language,"['Dené–Yeniseian', '?\n', 'Yeniseian', 'Northern Yeniseian', 'Ket']",,ket,153 (2020)[1],Krasnoyarsk Krai,,
102,East_Timor,,,,,,,
103,Muskum_language,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'East–Central', 'Munjuk', ' (B.2)', 'Muskum']",,mje,,,,
104,Khoekhoe_language,"['Khoe–Kwadi', 'Khoe', 'Khoekhoe', 'Khoekhoe']","['Nama–Damara', 'Haiǁom–ǂĀkhoe']","Either:naq – Khoekhoe, Namahgm – Haiǁom","200,000 ± 10,000 (2011)[1]","Orange River, Great Namaland, Damaraland",, Namibia South Africa[a][2]
105,Krahule,,,,,Banská Bystrica,,
106,Georgia_(U.S._state),,,,,,,
107,Leece,,,,,North West,,
108,California,,,,,,,
109,Pothohari_dialect,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northwestern', 'Punjabi', 'Lahnda (Western Punjabi)', 'Pahari-Pothwari']",,phr,several million[a],"Pothohar region of Punjab, Azad Kashmir and western parts of Jammu and Kashmir, other parts of India including Punjab and Haryana (by partition refugees and descendants)",,
110,Abure_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'West', 'Abure']",,abu,"93,000 (2017)[1]",,,
111,Commonwealth_of_the_Northern_Mariana_Islands,,,,,,,
112,Zulu_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Southern Bantu', 'Nguni', '-', 'Tsonga', 'Nguni', 'Zunda', 'Zulu']","['KwaZulu Natal Zulu', 'Transvaal Zulu', 'Qwabe', 'Cele']",zul,13 million (2022 census)[1]L2 speakers: 16 million (2002)[2],"
KwaZulu-Natal and southern Mpumalanga; scattered communities elsewhere
", South Africa,
113,Komi_language,"['Uralic', 'Permic', 'Komi', 'Komi-Zyrian']",,kpv,"99,609 (2020 census)[1]","Komi Republic, Nenetsia, Permyakia, Yamalia, Yugra, elsewhere in Russia"," Russia
 Komi Republic
",
114,Piman_languages,,,,,,,
115,Low_German,"['Indo-European', 'Germanic', 'West Germanic', 'North Sea Germanic', 'Low German']","['West Low German', 'East Low German']",nds  (Dutch varieties and Westphalian have separate codes),Estimated 4.35–7.15 million[a][1][2][3]Up to 10 million second-language speakers (2001)[4],,," Netherlands[5]
 Germany[6]

 Schleswig-Holstein
 Hamburg
 Lower Saxony
 Saxony-Anhalt
 Mecklenburg-Vorpommern[7]
 Brandenburg[8][9]
 Bolivia (70,000)[10] Paraguay (30,000)[11] Brazil (8,000)"
116,Federal_Republic_of_Somalia,,,,,,,
117,Maithili_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bihari', 'Maithili']",['Thēthi'],mai,22 million (2000)[4],Mithila[a]," India[b]
Jharkhand[5] (additional)
 Nepal[c]

Koshi (provincial official)
Madhesh (provincial official)
",
118,States_of_India,,,,,,,
119,Gallo_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Romance', 'Gallo-Rhaetian', '[2]', ' (possibly)', 'Oïl', 'Gallo']",,–,"191,000 (2012)[1]",Upper Brittany,,"France
Brittany
Loire-Atlantique, Pays de la Loire
"
120,Akkadian_language,"['Afro-Asiatic', 'Semitic', 'East Semitic', 'Akkadian']","['Old Akkadian', '[1]', '[2]', 'Assyrian', 'Babylonian', '[3]', 'Canaano-Akkadian', '[4]', '[5]']",akk,,Mesopotamia,Initially Akkad (central Mesopotamia); lingua franca of the Middle East and Egypt in the late Bronze and early Iron Ages.,
121,Hanun%C3%B3%27o_alphabet,,,,,,,
122,Alyutor_language,"['Chukotko-Kamchatkan', 'Chukotkan', 'Alyutor']","['Alutor', 'Palana Koryak']",alr,25 (2010 census)[1],Kamchatka,"Tigilsky District, Karaginsky District, Kamchatka (Russia)",
123,Slovenian_Istria,,,,,,,
124,Burmese_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo-Burmese', 'Burmish', 'Burmese']",,"mya – inclusive codeIndividual codes:mya – Myanmarint – Inthatco – Taungyorki – Rakhinermz – Marma (""မရမာ"")Tay – Tavoyan dialects",L1: 33 million (2007)[1]L2: 10 million (no date)[1],, Myanmar,
125,Komi_Republic,,,,,,,
126,Turkmen_language,"['Turkic', 'Common Turkic', 'Oghuz', 'Eastern Oghuz', 'Turkmen']",['Trukhmen'],tuk,6.56 million (2009–2015)[3],, Turkmenistan,
127,Hainan,,,,,,,
128,Afrihili,,,afh,,,,
129,Zaza_language,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Western', 'Northwestern', 'Zaza–Gorani', '[1]', '[2]', '[3]', 'Zaza']","['Tunceli', 'Ovacik', 'Hozat', 'Varto', 'Sivereki', 'Kori', 'Hazo', 'Motki (Moti)', 'Dumbeli', 'Central Zazaki']",zza – inclusive codeIndividual codes:kiu – Kirmanjki (Northern Zaza)diq – Dimli (Southern Zaza),3–4 million (2009)[1],"Provinces of Sivas, Tunceli, Bingöl, Erzurum, Erzincan, Elazığ, Muş, Malatya,[1] Adıyaman and Diyarbakır[1]",,
130,Gabon,,,,,,,
131,Eritrea,,,,,,,
132,Baybayin,,,,,,,
133,Surajpuri_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bengali–Assamese', 'Surjapuri']",,sjp,"2,256,228 (2011 census)[1]","Bihar, West Bengal",,
134,Tatarstan,,,,,,,
135,Bekasi_Regency,,,,,,,
136,State_of_Palestine,,,,,,,
137,Central_Visayas,,,,,,,
138,Republic_of_Poland,,,,,,,
139,United_States_of_America,,,,,,,
140,Cornish_language,"['Indo-European', 'Celtic', 'Insular Celtic', 'Brittonic', 'Southwestern Brittonic', 'Cornish']",,Variously:cor – Modern Cornishcnx – Middle Cornishoco – Old Cornish,,Cornwall,,"England
Cornwall
"
141,Saxony,,,,,,,
142,Khmer_language,"['Austroasiatic', 'Khmer']",,Either:khm – Khmerkxm – Northern Khmer,,, Cambodia, Thailand Vietnam
143,Vlax_Romani_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Western Zone', 'Romani', 'Vlax Romani']",,rmy,"538,480 (2002–2014)[1]",,,"Hungary, Romania, Poland, and Serbia"
144,Ik_language,"['Nilo-Saharan', '?\n', 'Kuliak', 'Ik']",,ikx,"14,000 (2014)[1]",Uganda,,
145,Montana,,,,,,,
146,Georgia_(country),,,,,,,
147,Aji%C3%AB,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'New Caledonian – Loyalties', 'New Caledonian', 'Southern', 'South Southern', 'Wailic', 'Ajië']",,aji,"5,400 (2009 census)[1]","Houailou, New Caledonia",,
148,Republic_of_Ireland,,,,,,,
149,Aragonese_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', '(unclassified)', '(in some classifications) Pyrenean–Mozarabic', 'Aragonese']","['Judaeo-Aragonese', ' ', '†', 'Navalese', 'Aisinian', 'Ansó', 'Aragüés', 'Benasquese', 'Hecho', 'Ribagorçan', 'Central']",arg,"Active speakers: 10,000–12,000 (2017)[1]Active and passive speakers: 30,000–50,000 (2017)[1]",Aragon; northern and central Huesca and northern Zaragoza,,"Spain
Aragon (Protected language status)
"
150,Kanuri_language,"['Nilo-Saharan', '?\n', 'Saharan', 'Western', 'Kanuri']",,kau – inclusive codeIndividual codes:knc – Central Kanurikby – Manga Kanurikrt – Tumari Kanuribms – Bilma Kanurikbl – Kanembutxj – Old Kanembu,(9.6 million cited 1993–2021)[1],Lake Chad,,
151,Pondicherry,,,,,,,
152,Valencian_Community,,,,,,,
153,Chiapas,,,,,,,
154,Malekula,,,,,,,
155,Chechnya,,,,,,,
156,Adai_language,['unclassified'],,xad,,Louisiana,,
157,Akkala_S%C3%A1mi,"['Uralic', 'Sámi', 'Eastern', 'Mainland', 'Akkala Sámi']",,sia,,Southwest Kola Peninsula,,
158,Mandombe_alphabet,,,,,,,
159,Nepali_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northern Zone', 'Eastern Pahari', 'Nepali']",,nep – inclusive codeIndividual code:npi – Nepali,L1: 19 million (2011–2021)[2]L2: 14 million (2021 census)[2]  Total: 32 million[2],Himalayas[a][1],"   Nepal India[b]
Sikkim[c]
West Bengal[d]
", Bhutan
160,Niger,,,,,,,
161,Divisions_of_Bangladesh,,,,,,,
162,Altai_Republic,,,,,,,
163,Occitan_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Iberian', 'Gallo-Romance', '[a]', 'Occitano-Romance', '[a]', 'Occitan']","['Auvergnat', 'Gascon', 'Languedocien', 'Limousin', 'Provençal', 'Vivaro-Alpine', 'Niçard', 'Judeo-Provençal', ' †', 'Judeo-Gascon', ' †', 'Judeo Niçard', ' †']",oci – inclusive codeIndividual code:sdt – Judeo-Occitan,"(c. 200,000 cited 1990–2012)[1]Estimates range from 100,000 to 800,000 total speakers (2007–2012),[2][3] with 68,000 in Italy (2005 survey),[4] 4,000 in Spain (Val d'Aran)[5]",Occitania,"Spain
Catalonia (as Aranese)
","France
Auvergne-Rhône-Alpes
Centre-Val de Loire
Nouvelle-Aquitaine
Occitania
Provence-Alpes-Côte d'Azur
Italy (Occitan Valleys) (Law number 482 of 15 December 1999)[6]

Monaco"
164,Lifou,,,,,,,
